23469586
/m/07k5t0d
/m/07k5t0d
John Ringo
2004-04
10yearold 1
2 3
2000 1
3 1
300 1
4 1
400 1
5 1
6 4
7 2
a 136
aback 1
abandon 2
abandoned 1
abandoning 1
abandons 1
able 1
aboard 3
aborted 1
about 22
accept 1
accepted 1
access 1
accident 1
accompanied 3
acculturation 1
accustomed 1
acquaintance 1
acquired 1
across 5
action 1
activate 2
activating 1
actually 1
add 1
additional 1
adjacent 2
admits 3
adoula 1
advance 1
advantage 1
advises 1
affect 1
aflame 1
after 15
afterwards 3
again 3
against 9
aged 1
agent 1
agree 1
agreed 1
agrees 4
ahead 1
aid 1
airlock 2
alexandra 1
alive 3
all 22
allegiance 1
alleviate 1
allied 1
allies 2
allowed 1
allowing 2
allows 2
almost 2
alone 1
along 9
already 3
also 12
alter 1
always 2
amanda 2
ambush 1
ammunition 1
among 2
an 14
and 264
another 2
answer 1
antiarmor 1
antiship 1
any 9
anyone 1
apparent 1
approach 2
approaches 1
are 40
area 1
armaments 1
armed 2
armor 3
armory 1
army 3
around 3
arranges 2
arrayed 1
arrest 1
arrival 3
arrive 2
arrived 1
arrives 4
artillery 1
as 53
asi 1
aside 1
ask 1
asks 4
assassination 1
assault 3
assess 1
assist 3
assistance 1
assisted 1
assists 1
assurances 1
astonished 1
astounded 1
astrographic 1
asylum 1
at 30
attack 5
attacks 2
attempt 7
attempting 1
attention 1
attractive 1
attrition 1
atypical 1
audience 1
authority 1
avidly 1
avoid 3
avoided 1
await 4
awards 1
aware 2
back 8
background 1
bad 1
badge 1
banquet 1
barbarians 1
barely 1
baron 1
barracks 1
based 1
baseline 1
basik 1
bathhouse 2
battle 12
battlements 1
be 36
beach 6
bead 2
beadpistols 1
because 8
become 2
becomes 7
been 12
before 7
began 1
begin 10
begins 2
begs 1
behavior 1
behind 4
being 11
believed 1
believes 2
bemused 1
benan 2
beneficial 1
better 1
between 8
biannual 1
bidding 1
big 1
binding 1
bite 1
blame 1
blast 1
blocked 1
blow 1
blowing 1
board 1
boarded 1
boarding 1
boards 1
boat 1
bodies 1
body 5
bodylanguage 1
bogus 1
boman 1
bombshell 1
bonded 2
bonds 1
born 1
both 4
boy 1
brave 1
breach 1
break 2
bridge 3
brief 2
brilliant 1
bring 1
brings 1
broadsides 1
broke 1
broken 1
bronze 2
bronzed 1
brother 1
brought 4
brown 1
bruises 1
bust 1
but 28
butchered 1
by 40
cakewalk 1
calculations 1
call 1
called 2
cammand 1
camp 2
camped 1
can 11
canasta 1
cannon 3
cant 1
capable 1
captain 2
captains 1
captives 2
captured 1
card 1
carnage 2
carries 1
carrying 2
cart 1
carts 1
castigate 1
casualties 3
causes 1
causing 3
cautiously 1
cavalry 1
cavalrymen 1
cease 1
cells 1
certain 1
certainly 1
chained 2
chains 1
chameleon 2
chang 1
change 2
changes 1
chant 1
charge 2
charges 3
chastise 1
chief 1
chieftain 2
chieftains 1
child 3
children 2
choice 2
choose 1
chosen 1
chunk 1
cies 5
circumstances 1
citadel 1
city 8
civan 1
claiming 1
clean 1
clear 5
clears 1
climb 1
climbs 1
close 1
closed 1
closes 2
closing 1
clothed 1
clothes 2
clothing 1
clues 1
codes 1
coincide 1
cold 3
coll 1
colleagues 2
colonel 1
com 1
combat 4
come 4
comes 1
coming 2
comm 1
command 5
commanded 1
commandeer 1
commander 4
commanders 2
commandos 1
common 1
commotech 1
communiques 1
company 9
complete 3
completely 1
compromised 1
computers 1
conceal 1
conceals 1
concept 1
concern 2
concerned 1
concerns 2
conclude 2
concludes 2
concubine 1
conditions 3
conduct 1
