4124568
/m/0bkdwj
/m/0bkdwj
Beverly Cleary
1963
a 13
about 1
accepted 1
adult 1
advice 1
although 1
an 1
and 14
announces 1
apparently 1
are 2
around 1
as 6
at 2
barbara 8
be 1
becomes 1
becoming 1
begin 1
begins 1
being 2
berkeley 2
between 1
bill 2
bit 1
bodger 1
boyfriend 1
but 1
by 1
california 1
calls 1
catch 1
caught 1
classmate 1
college 1
comes 2
company 1
conversely 1
cookies 1
cost 1
cunningham 1
dashing 1
decides 1
details 1
disappointing 1
domestic 1
dumpy 1
dust 1
elderly 1
enjoying 1
enthralled 1
fact 1
feeling 1
finding 1
focusing 1
folks 1
follow 1
fond 1
for 1
frame 1
friends 1
get 1
getting 1
girl 1
gloomy 1
good 1
grandmother 1
granted 1
grappling 1
greg 3
handsome 1
have 1
he 2
her 8
him 1
his 1
home 1
homemade 1
however 1
if 1
in 3
intensifies 1
into 1
is 7
it 1
just 1
landlords 1
left 1
less 1
lessthanpleasant 1
life 1
live 1
lowermiddleclass 1
maclane 1
maclanes 1
make 1
married 1
maybe 1
means 1
mend 1
misfires 1
more 2
must 1
needs 1
never 1
news 1
not 2
of 12
offers 1
older 1
on 3
only 1
parents 2
pile 1
plan 1
player 1
plodding 1
plot 1
potential 1
presented 1
promptly 1
prospects 2
quite 1
rather 1
ready 1
rent 1
revolves 1
ripped 1
robin 1
romantic 2
rosemary 6
sacrifices 1
save 1
search 1
serious 1
she 6
shirt 1
shock 1
short 1
sister 2
sisters 1
sixteenyearold 1
socializing 1
somewhat 1
special 1
step 1
stresses 1
student 1
such 1
suddenly 1
sweetheart 2
tall 1
tenement 1
tension 1
than 1
that 4
the 15
their 1
think 2
this 2
thoughtful 1
thoughtless 1
time 2
to 16
tootie 2
tries 1
trombone 1
two 3
type 1
unexpected 1
university 1
up 4
variety 1
vespa 1
wealthy 1
wedding 4
when 1
which 1
while 2
who 2
whom 1
will 1
with 5
woos 1
worries 1
years 2
yet 2
you 1
young 1
