4956429
/m/0cw_n0
/m/0cw_n0
Roger Zelazny
1980-06
a 5
age 1
amidst 1
and 3
artisan 1
as 1
at 1
baby 3
back 1
balance 1
between 1
brought 1
but 1
castle 1
child 1
complete 1
conquerors 1
considered 1
destroyed 1
det 3
fight 1
for 2
found 1
from 1
had 1
he 1
him 2
his 2
in 1
infamous 1
it 2
joined 1
kill 1
last 1
leaving 1
legends 1
local 1
long 1
magic 1
marak 1
mere 1
mor 3
morson 1
not 1
of 2
order 1
other 1
own 2
parallel 1
parents 1
people 1
persuade 1
pol 2
power 1
recognize 1
retain 1
rondoval 1
rubble 1
ruled 1
same 1
son 1
spell 1
substituted 1
suffered 1
technology 1
the 14
their 1
to 6
took 2
under 1
unwilling 1
using 1
victory 1
was 1
ways 1
were 2
when 1
where 1
with 1
wizard 1
world 2
worlds 1
