4118487
/m/0bk30_
/m/0bk30_
Piers Anthony
1989-10
a 9
after 3
agenda 1
agrees 1
allow 1
although 2
an 1
and 4
apartment 1
appropriatelynamed 1
are 1
arrives 1
average 1
bad 1
banished 1
basis 1
battle 1
been 1
believe 1
besting 1
book 1
both 1
boy 1
brother 1
by 1
called 1
castle 1
cent 1
chargedup 1
claims 2
cofiancees 1
college 1
compewter 2
computer 1
despite 1
disorientated 1
doesnt 1
dreams 1
dyslexia 1
electra 1
emerges 1
enough 1
entered 1
euphoria 1
even 2
evil 2
exists 1
exiting 1
fall 1
fantastical 1
fantasy 1
feelings 1
find 2
finds 1
for 4
from 2
girls 1
go 2
good 1
gourd 1
grey 7
grow 1
had 2
he 2
heaven 1
help 1
her 8
herself 1
him 2
his 2
home 1
humfrey 2
hypnogourd 1
in 5
installing 1
into 2
is 3
it 2
ivy 6
knows 1
location 1
machine 1
maenads 1
magic 3
magician 2
magiciancaliber 1
manufactured 1
marry 1
meanwhile 1
meet 1
meets 1
mirror 1
move 1
moving 1
mundania 2
murphy 2
nada 2
naga 1
named 1
neighboring 1
never 1
nonmagician 1
nullification 1
of 5
off 1
on 1
origins 1
parents 1
preparation 1
princess 2
program 2
quest 1
realizes 1
regal 1
retrieve 1
revealed 1
roogna 1
runs 1
scientific 1
sees 1
series 1
sets 1
she 1
skeptical 1
son 1
spring 1
starting 1
starts 1
still 1
stolen 1
stronger 1
sure 1
take 1
talent 2
that 7
the 12
their 1
them 1
they 1
theyve 1
things 1
though 1
through 2
to 10
transport 1
trip 1
turns 1
two 1
uses 1
vadne 1
wants 1
water 1
when 3
where 1
which 1
who 1
will 1
wine 1
with 3
wits 1
women 1
wont 1
world 1
worm 1
xanth 5
younger 1
