1362438
/m/04ws1b
/m/04ws1b
Thomas Sowell
2004
1 1
7 1
a 4
about 1
according 1
achieved 1
achieving 1
action 2
actual 1
advantage 1
affirmative 2
africanamerican 1
already 1
among 3
an 1
analyzes 1
and 6
any 1
anywhere 1
are 2
as 4
assist 1
at 2
balance 1
be 1
because 2
been 2
before 1
beneficial 1
benefit 1
best 2
black 1
book 1
both 1
by 1
can 1
centuries 1
characterized 1
claims 2
common 1
compares 1
concludes 1
consequences 2
could 1
countries 1
critic 1
danger 1
defined 1
despite 1
detriment 1
differ 1
doing 1
duration 1
dutch 1
effects 1
eg 2
encourage 1
eternal 1
even 1
examination 1
finds 1
fittingly 1
fivecountry 1
for 3
former 1
fortunate 2
four 1
from 1
futile 1
goal 1
group 2
groups 4
hard 1
has 1
have 3
he 1
himself 1
hiring 1
his 1
histories 1
history 1
impact 1
in 4
incentives 1
india 1
intended 1
is 3
it 2
known 1
lanka 1
latter 1
least 1
longer 1
losses 1
made 1
makes 1
malaysia 1
martin 1
mdash 2
members 1
millionaires 1
more 1
most 1
multiethnic 1
negligible 1
net 2
never 1
nigeria 1
nonpreferred 3
of 13
often 1
on 3
or 2
p 1
passage 1
people 1
perform 1
perpetual 1
policies 3
policy 1
poor 1
preference 2
preferences 1
preferred 3
primarily 1
programs 3
promotion 1
prove 1
racebased 1
racial 1
recent 1
redesignate 1
reduce 1
regard 1
resulting 1
review 1
sample 2
say 1
so 1
society 1
something 1
sowell 2
specific 1
sri 1
states 1
such 2
support 1
sweeping 1
take 1
temporary 1
tend 1
that 3
the 18
their 2
them 1
themselves 1
then 1
thereby 1
these 1
they 4
thinking 1
this 3
those 1
to 9
united 1
unnecessary 1
whites 1
whole 1
whose 1
with 2
world 1
