8152991
/m/026tjc2
/m/026tjc2
Sherwood Smith
1990-09
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 9
abducting 1
ability 1
able 1
accompany 1
ad 1
after 1
against 1
agent 1
aid 1
aids 1
all 2
alltoosecure 1
ally 1
already 1
also 1
ambushladen 1
an 5
and 13
andreus 5
animal 1
animosities 1
anonymous 1
another 2
approach 1
are 1
as 3
at 2
away 1
backfires 1
be 4
becomes 1
been 1
before 1
being 2
best 1
between 1
blighted 1
border 1
bound 1
breath 1
bring 1
by 3
cantirmoor 6
capital 1
captured 1
ceaseless 1
clear 1
close 1
combination 1
comes 1
compatriots 1
conferred 1
conflict 1
confusion 1
connor 1
control 1
country 1
curse 1
daring 1
daughter 1
debate 1
defenses 1
defies 1
desire 1
desired 1
detainees 1
dignity 1
directive 1
discuss 1
due 1
dustjacket 1
editions 1
edrann 1
educator 1
electing 1
encounter 1
ensuing 1
escalating 1
escape 1
evermenacing 1
expand 1
faces 1
fact 1
falls 1
father 1
feast 1
felloworphan 1
following 1
for 1
foreign 1
forever 1
forgotten 1
form 1
formers 1
free 4
friend 1
friends 2
from 2
frustration 1
girl 1
girls 1
given 1
had 1
happen 1
has 1
hastening 1
have 2
haven 1
heightens 1
heiress 1
help 1
her 10
herself 1
hiding 1
highest 1
his 1
home 2
honor 1
hope 1
hopes 1
horth 1
however 2
human 1
idres 2
in 16
include 1
indefinite 1
infiltration 1
ingenuity 1
inhabitant 1
instead 1
intends 1
intensifying 1
interest 1
interim 1
international 1
intervention 1
into 2
invasion 1
invite 1
is 6
joins 1
journey 1
justice 1
king 1
land 3
lands 1
largely 1
learns 1
leaves 1
lirwan 3
lirwani 2
located 1
lost 2
magic 3
magical 1
magicallyprotected 1
magicians 1
major 1
make 1
many 1
measures 1
meets 1
meldrith 2
mind 1
mission 3
most 3
mountainencircled 1
mountains 1
namely 1
narrowly 1
nation 1
nearby 1
neighbouring 1
new 1
next 2
now 1
of 30
off 1
officials 1
on 5
once 1
only 1
orphan 1
orphanage 1
out 1
over 1
overrun 1
own 2
pair 1
palace 1
parents 1
part 1
party 1
past 1
permission 1
plan 2
planes 1
planets 1
plight 1
position 1
prentice 1
prestigious 1
prevails 1
previous 1
prince 1
princess 2
print 1
proceeds 1
prominent 1
proves 1
provided 1
provisions 1
purportedly 1
rear 1
reason 1
regal 1
reluctance 1
remaining 1
remains 2
rescue 7
rescuers 1
resting 1
restored 1
retaliatory 1
return 1
reunited 1
reveal 1
revenge 1
rhisadel 1
rhiscarlan 1
rides 1
saves 1
school 1
scope 1
security 1
seek 1
selfstyled 1
senna 3
setting 1
shall 1
shaltar 1
she 2
side 1
six 1
skilful 1
slips 1
sole 1
some 1
something 1
sought 1
south 1
still 1
stop 1
story 2
subterfuge 1
succeeds 1
sympathizer 1
technically 1
tells 1
teresa 1
tess 8
tesss 1
text 1
that 2
the 40
their 6
them 1
there 1
these 1
they 1
thing 1
this 2
though 1
threat 1
threats 1
through 2
to 27
tower 1
town 1
transmogrification 1
trip 1
twelve 1
two 1
tyron 3
unexpected 1
vale 2
variety 1
volume 2
wanting 1
way 1
waypoint 1
went 1
what 1
when 1
which 2
while 1
who 1
whose 3
win 1
with 2
wren 10
wrens 2
years 2
