34266483
/m/0hzq8f8
/m/0hzq8f8
Lee Goldberg

{"/m/02n4kr": "Mystery"}
10s 1
150 1
160s 2
163 2
164 1
182 2
1850s 1
1th 2
20 1
2008 1
232 1
a 76
abandoned 1
abby 2
abigail 7
ability 1
able 2
about 19
accidentally 1
according 3
actual 1
actually 2
adams 23
admits 3
adrian 2
aforementioned 1
after 11
aftermath 1
ago 1
all 5
almost 1
along 1
already 1
also 17
always 2
am 1
amazing 1
an 7
and 112
angels 1
another 2
any 2
anyone 1
anything 2
apparently 2
appear 1
appears 1
are 11
area 1
arm 1
around 5
arranged 1
arrest 1
arrested 1
arrests 1
arrived 1
arrives 2
artemis 11
as 20
asked 1
asks 1
assayer 2
assist 1
assistant 2
assumption 1
astray 2
at 21
attack 2
attempt 2
auto 1
away 3
back 7
bad 1
bags 4
bait 1
bar 1
barons 1
based 1
be 11
beat 1
because 7
becomes 1
been 10
before 7
beginning 2
behavior 1
being 3
believes 2
berates 1
better 1
between 1
big 1
bit 1
black 1
blasting 1
bleeding 1
blood 1
bludgeoned 1
bob 1
body 2
boilerman 1
boobytrap 1
book 1
boston 1
both 4
box 1
boxcar 1
brakeman 1
brazen 1
breaks 1
briefly 1
broken 1
brought 2
bud 1
built 1
burglaries 1
burlap 4
burn 1
burst 2
business 1
businessman 1
but 16
butterflies 2
by 17
cabin 1
california 3
call 3
called 4
calls 1
came 1
camp 2
cancer 1
cant 1
captain 1
car 11
cared 1
carried 1
carry 1
carrying 1
cars 1
case 5
cased 1
cases 1
casing 2
catch 1
catching 1
caught 3
caused 1
centerpiece 1
central 1
century 2
chapped 1
chief 3
chuckwagon 2
circumstances 1
claim 1
claimed 1
clarence 1
clean 1
clifford 8
closer 1
clothes 1
clothing 1
coins 1
column 1
come 3
comes 1
coming 2
committing 1
compartment 1
completely 1
compound 4
comprised 1
con 2
conductor 3
confession 1
confirm 1
confirms 2
confused 1
considers 1
consist 1
consulting 1
contacted 1
contacting 1
containing 1
contemplating 1
contents 1
continue 1
continued 1
contrived 1
control 1
cop 2
correctly 1
could 4
couldnt 1
cover 1
covering 1
cowhand 1
crew 1
crimes 3
crystal 1
cutthroat 1
danger 1
dangerous 1
daughter 1
day 4
days 3
dead 2
death 3
decided 2
delivered 1
delivering 2
derosso 15
desire 1
desk 1
desperate 1
detail 1
details 1
detective 2
developer 1
diary 6
did 2
didnt 2
died 4
dies 1
digging 3
diner 1
dining 2
dinner 1
diorama 5
director 1
dirty 1
disarming 1
discarded 1
discontinued 3
discovered 1
discovery 1
discussed 1
disher 2
dislocating 1
distance 1
distinctive 1
do 4
does 1
doing 2
dont 2
door 3
doris 7
dorothy 1
doublecrossing 1
down 5
draws 1
drew 1
drink 1
drive 2
driveway 1
driving 2
duct 1
ducttaped 2
due 1
dunsen 3
during 9
earlier 3
early 2
easily 1
east 1
easy 2
eating 2
ed 1
ejected 1
encounter 1
end 1
ending 1
ends 1
enforcer 1
engineer 1
enough 1
ensues 1
enter 1
entered 2
entering 1
entire 1
entry 1
equipped 1
escape 1
even 2
evening 1
eventually 5
ever 1
every 1
everywhere 1
evidence 1
examines 1
excerpt 2
executed 1
experience 1
explain 2
exploits 1
exposes 2
express 7
extortion 1
extra 1
