568053
/m/02qx0j
/m/02qx0j
E. Annie Proulx
1993
{"/m/05hgj": "Novel"}
a 8
ability 1
about 2
abusive 1
accident 2
after 1
agnis 1
also 1
ancestors 1
ancestral 1
and 9
are 2
arrivals 1
articles 1
as 3
asks 1
attempts 1
aunt 1
background 1
be 1
become 1
beginning 1
begins 1
bird 2
boats 1
book 1
by 1
car 1
centers 1
collapsing 1
comfortable 1
community 1
confidence 1
convinces 1
daughters 2
deep 1
departures 1
despite 1
disturbing 1
document 1
editor 1
emerge 1
emigrated 1
emotional 1
family 1
father 1
focus 1
for 2
friends 1
from 3
gammy 2
girls 1
gradually 1
grows 1
growth 1
hamm 1
harbour 1
he 1
her 1
him 2
his 6
home 1
in 6
interest 1
into 1
is 1
killed 1
killickclaw 1
learns 2
leaves 1
life 1
local 3
located 1
lover 1
loving 1
main 1
makes 1
new 2
newfoundland 2
news 1
newspaper 2
obtains 1
of 1
on 3
own 1
parents 1
paternal 1
petal 2
point 1
police 1
port 1
pressroom 1
quoyle 9
relationship 2
reporter 1
return 3
returned 1
safe 1
secrets 1
sell 1
sex 1
shipping 1
shortly 1
signature 1
small 1
soon 2
story 1
strange 1
strength 1
suicide 1
that 1
the 10
their 2
thereafter 1
they 1
to 8
town 2
traffic 1
traffickers 1
troubled 1
two 1
unfaithful 1
upstate 1
wavey 1
ways 1
well 1
which 1
whose 1
wife 1
with 1
within 1
woman 1
work 1
worker 1
york 1
young 1
