10454700
/m/02qdmz_
/m/02qdmz_
Stevan Javellana

{"/m/02xlf": "Fiction"}
a 9
advice 1
affair 1
after 4
again 1
also 1
although 1
an 2
and 14
angered 1
another 1
area 1
as 3
asked 1
asking 1
at 2
attack 1
away 1
back 1
badlan 1
barangay 1
barbara 1
barrio 2
be 2
became 1
because 4
been 1
behavior 1
blessing 1
bring 1
brought 1
building 1
built 1
but 2
by 4
called 1
came 1
carabao 1
carding 1
child 1
city 1
corpse 1
couple 1
crisostomo 1
custom 1
daughter 1
dawn 1
death 1
del 1
designated 1
despite 1
destroyed 1
died 2
diego 2
don 2
done 1
drafted 1
elderly 1
enemies 1
enemy 1
entrusted 2
evacuated 1
even 1
except 1
executioner 1
farewell 1
farming 1
father 4
fellow 1
find 1
first 3
flood 1
followed 1
for 5
forgiveness 1
garrison 1
given 2
giving 1
go 1
had 3
hand 1
harvest 1
he 2
him 3
his 5
house 2
however 1
identified 1
if 1
illness 1
iloilo 2
in 4
invaders 1
japanese 3
juan 1
killed 2
knowing 1
known 1
land 5
landlord 2
leading 1
left 1
life 1
living 1
lucia 11
lucing 1
luis 1
manhayang 2
marry 2
may 1
member 1
met 2
military 1
mindanao 1
misfortune 3
money 1
named 1
nestong 1
news 1
nicknamed 1
nonguerrillas 1
not 2
occupiers 1
of 8
on 1
one 1
ordered 1
own 1
pamamanhikan 1
people 1
place 1
pregnant 2
prostitute 1
raped 1
reached 1
real 1
reason 1
receiving 1
refused 1
representante 1
representative 1
residents 1
return 1
ricardo 12
rosing 2
said 1
santa 1
school 1
seeing 1
send 1
sent 1
service 1
set 1
she 1
simple 1
small 1
sold 1
soldiers 1
some 1
son 5
soon 1
stayed 1
stevedore 1
stillborn 1
struck 1
suerte 3
suffering 1
suicide 1
tenant 1
teniente 1
that 4
the 30
their 8
them 1
then 1
they 5
till 1
tilling 2
to 16
told 1
traditional 1
truth 2
union 1
upon 1
village 1
villagers 1
violence 1
wait 1
wanted 2
war 1
was 14
welcome 1
went 2
were 3
when 3
where 1
who 3
why 1
wife 2
will 1
wished 1
with 2
without 1
would 1
young 1
