4938109
/m/0cw2nv
/m/0cw2nv
Christianna Brand
1944
a 5
accident 1
after 2
all 1
anaesthesia 1
another 1
at 1
attempt 1
bianco 1
british 1
cockrill 2
dangerously 1
death 1
determine 1
enjoyable 1
found 1
he 1
head 1
hospital 2
i 1
ill 1
in 3
inspector 1
is 2
it 1
itdelitto 1
killed 1
lay 1
leaves 1
like 1
murder 2
murderer 1
my 1
no 1
nurse 2
of 1
one 1
operation 1
order 1
over 1
pall 1
patient 1
place 1
point 1
presence 1
restages 1
revealing 1
rural 1
states 1
takes 1
tasked 1
that 1
the 5
to 2
tremendously 1
under 1
unmask 1
was 1
when 1
whodunit 1
