2836377
/m/085vd7
/m/085vd7
Koji Suzuki
1995
{"/m/03npn": "Horror"}
30 1
a 15
about 2
accident 2
after 4
airways 1
also 3
an 1
and 19
ando 13
another 1
appeared 1
are 2
as 11
asakawa 1
assigned 1
assistant 1
at 2
autopsy 1
back 1
be 2
beach 1
beautiful 1
because 2
before 1
begins 1
behind 1
believed 1
benign 1
birth 1
block 1
body 1
book 2
brother 2
brought 1
but 2
by 1
called 1
came 1
car 1
cast 1
cause 1
caused 1
charm 1
child 1
clues 1
colleague 2
condition 1
contain 1
contains 1
contradicts 1
cooperation 1
copied 1
crash 1
critical 1
crushed 1
cryptic 2
curse 1
day 2
days 1
dead 1
deadly 1
death 2
died 2
disappearance 1
discover 1
discovered 2
discovers 1
discovery 1
distribute 1
do 1
does 1
drowning 1
epilogue 1
eradicated 1
event 1
events 3
exchange 1
explainable 1
explaining 1
explanation 1
explanations 1
family 1
fell 1
files 2
find 2
first 2
focus 1
for 2
found 4
from 1
further 2
gave 1
giving 1
grow 1
grows 1
has 1
he 12
her 2
here 1
herself 1
him 1
his 11
hoping 1
horror 1
how 2
in 8
inside 1
interfere 1
into 1
introduced 1
introduces 1
investigate 1
involved 1
is 9
it 3
junichiro 1
kazuyuki 6
kills 1
know 2
later 1
laughed 1
less 1
lies 1
life 2
like 1
lost 1
love 2
lover 1
lured 1
made 1
mai 8
mainly 1
masako 2
mastermind 1
meaning 1
medium 1
meet 1
message 2
messages 1
met 1
mitsuo 1
miyashita 3
more 2
motivates 1
much 1
must 1
mutated 1
named 1
night 1
not 3
novel 1
now 2
occur 1
of 8
offered 1
older 2
on 2
one 3
organism 1
origins 1
other 1
out 3
over 1
own 1
parchment 1
past 1
performed 1
perplexes 1
person 2
planning 2
playing 1
previously 1
prior 1
publication 1
publish 1
puzzled 1
reading 1
realized 1
receives 1
reintroduce 1
report 4
resurrect 1
resurrection 1
revealing 1
ring 4
ryuji 6
sadako 5
sadakomasako 1
same 1
scientific 1
scientifically 1
scientist 1
search 1
see 1
seems 1
series 1
shadow 1
shown 1
shows 1
sister 1
site 1
smallpox 1
something 1
son 2
stomach 1
stop 1
story 2
stumbles 1
suddenly 1
supernatural 3
takano 3
talk 2
tape 3
tells 1
that 7
the 46
then 1
therefore 1
they 5
this 3
throat 2
through 1
title 1
to 23
transferred 1
tumor 6
two 1
unable 1
uncertain 1
unlike 1
until 1
upon 1
us 1
uses 1
via 1
video 1
videotape 2
viewer 1
virus 7
visited 1
warning 1
was 4
watching 1
we 1
well 3
went 1
were 2
when 2
where 2
which 4
who 2
whose 1
wife 2
with 7
woman 1
word 1
would 1
years 2
