14901146
/m/03h0zvh
/m/03h0zvh
Greg Mortenson
2009-01-22
{"/m/0xdf": "Autobiography", "/m/017fp": "Biography", "/m/05h83": "Non-fiction", "/m/016chh": "Memoir"}
13 1
55 1
70 1
75hour 1
a 11
access 1
according 1
across 1
advocates 1
afghanistan 2
after 3
ali 1
alleviate 1
alone 1
amber 1
and 10
arriving 1
as 2
ascent 1
asia 1
askole 1
attempted 1
awaited 1
be 1
became 1
because 1
being 1
benefit 1
book 2
books 1
boys 2
build 2
building 1
built 1
by 4
cai 1
came 1
can 1
canyon 1
capital 1
central 1
challenges 2
chief 1
christa 1
cities 1
climb 1
climber 1
climbers 1
cofounded 1
collaborative 1
community 3
complete 1
contrast 1
daunting 1
days 1
death 1
deceased 1
descent 1
deterred 1
difficulties 1
donated 1
during 2
educated 2
educating 1
education 1
efforts 1
elder 1
endowing 1
engagements 1
enhanced 1
especially 1
exhausted 1
extremism 1
faced 1
family 1
fifth 1
find 1
focused 1
for 6
formerly 1
from 3
funds 1
generation 1
getting 1
girls 3
greeted 1
greg 1
had 2
haji 1
has 1
he 5
her 1
highest 1
his 9
hoerni 2
honoring 1
hospitality 1
improve 1
in 14
included 1
instead 1
institute 1
interrupted 1
introduced 1
islamic 1
jean 1
jobs 1
jutting 1
k2 2
karakoram 1
kashmir 1
kidnapped 1
knowledge 1
korphe 2
last 1
lasting 1
lay 1
life 1
lifesaving 1
located 1
long 1
lost 1
many 1
memorial 1
memory 1
money 1
months 1
more 3
mortenson 8
mountain 2
mountaineer 1
move 1
mullahs 1
necklace 1
need 1
needed 1
next 1
northern 1
of 13
on 5
other 1
out 1
pakistan 2
pakistanadministered 1
pass 1
periods 1
pioneer 1
planned 1
porters 1
post11 1
poverty 1
promised 1
quest 1
raise 1
raising 1
range 1
recounted 1
reflecting 1
region 1
remain 1
remote 1
repay 1
rescue 1
return 1
rural 1
school 2
schooling 1
schools 2
second 1
seldom 1
separation 1
shelf 1
silicon 1
sister 1
small 1
some 1
speaking 1
state 1
suggests 1
summit 1
sympathizers 1
taken 1
taliban 2
tend 2
territory 1
than 2
that 3
the 21
their 4
these 1
they 1
threats 1
three 1
through 1
thus 1
to 16
valley 1
village 2
was 2
way 1
weak 1
where 1
who 1
world 2
