6065164
/m/0fn9dq
/m/0fn9dq
Alfred Bester
1975
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 8
across 1
activity 1
aid 1
all 1
along 1
an 1
and 8
are 2
as 2
assist 1
at 1
avoid 1
band 1
be 1
becoming 1
behavior 1
best 1
body 1
brilliant 1
bring 1
cannot 1
catches 1
change 1
characters 1
cherokee 1
collaborating 1
come 2
control 2
create 1
creates 1
curzon 1
daytoday 1
die 1
dont 1
dr 1
earth 1
expected 1
experience 1
extensive 1
extro 3
famous 1
for 2
friends 2
future 1
gained 1
going 1
grand 1
grapple 1
guess 4
guignol 1
harness 1
has 1
have 2
heart 1
herb 1
hillel 1
himself 2
his 2
historical 1
immortal 1
immortals 3
in 5
including 1
ingenious 1
instead 1
is 1
it 2
its 1
killed 1
know 1
knowledge 1
learned 1
leaving 1
life 1
loopholes 1
machine 1
malevolent 1
man 1
mechanical 1
membership 1
mind 1
monitor 1
much 1
named 2
nearest 1
ned 1
network 1
nicknamed 1
of 7
on 2
one 1
only 3
outside 1
peculiarity 1
people 1
pepys 1
physicist 1
plan 1
powerful 1
quest 1
recently 1
requirement 1
sam 1
same 1
scientists 1
seizes 1
sequoya 1
shock 1
so 1
social 1
some 3
subtly 1
supercomputer 1
swift 1
task 1
that 3
the 10
their 3
them 1
they 1
theyve 1
this 1
through 1
time 1
to 8
together 1
tried 1
use 1
very 1
wells 1
what 1
who 5
will 1
with 2
working 1
world 1
