17063939
/m/041756g
/m/041756g
Robyn Young
2006-08-24
{"/m/0hwxm": "Historical novel"}
a 7
achieve 1
advisors 1
alone 1
also 3
and 6
anima 2
are 1
as 3
author 1
baybars 3
become 1
becomes 1
book 4
brethren 3
bring 1
bundukdari 1
but 1
by 3
campbell 3
christianity 1
circle 1
contact 1
could 1
crusade 1
deep 1
describes 1
does 1
dominant 1
down 1
downfall 1
earlier 1
edward 1
entangled 1
ever 1
faiths 1
father 1
fictional 1
finds 1
follows 1
franks 1
full 1
further 1
grail 1
hands 1
has 1
hatred 1
he 3
his 2
holy 1
hospitallers 1
however 1
if 1
in 6
is 4
islam 1
itself 1
james 1
john 1
judaism 1
knight 1
know 1
land 1
later 1
longlasting 1
mamluks 1
motivated 1
name 1
not 3
novel 1
of 17
only 1
or 2
order 2
out 1
parallel 1
part 2
parts 1
peace 1
plans 1
potentially 1
prince 1
promoted 1
purely 1
reconciliation 1
result 1
rose 1
runs 1
same 1
search 2
secret 1
sequel 1
sergeant 1
slave 1
st 1
starts 1
story 3
sultan 1
tasked 1
teenager 1
templar 1
temple 3
templi 2
that 3
the 32
their 1
there 2
three 1
to 5
trusted 1
want 1
west 1
which 1
who 4
will 4
william 1
with 2
within 2
works 1
written 1
wrong 1
young 1
