201227
/m/01cl9w
/m/01cl9w
Sinclair Lewis

{"/m/06n90": "Science Fiction", "/m/026ny": "Dystopia"}
5000 1
a 18
about 1
abuses 1
accused 1
across 1
actions 2
acts 1
addition 1
adjusted 1
administration 2
administrative 1
adviser 1
after 3
against 2
agent 1
along 1
also 1
american 3
americans 2
among 2
an 4
and 26
angers 1
antiwindrip 1
approve 1
approximately 1
are 2
army 1
arouse 1
as 12
associates 1
attacking 1
attempts 1
authoritarian 1
authorities 1
bayonets 1
be 2
beecroft 1
been 2
beginning 1
believing 1
berzelius 1
bloody 1
both 1
break 1
breaks 1
bribe 1
brief 1
businessmen 1
but 1
buzz 1
by 8
called 3
camp 3
camps 1
canada 3
cannot 1
cause 1
champion 1
charismatic 1
chief 1
citizen 1
citizens 2
civil 1
commissioner 1
communist 1
concentration 2
conflict 1
congress 1
conscription 1
consolidate 1
control 1
coon 1
corpo 4
corpoism 1
corpooccupied 1
corporatism 1
corporatist 1
corpos 1
corrupt 1
country 5
coups 1
courts 1
create 1
creates 1
crimes 1
curtails 1
daughter 1
dealings 1
decisions 1
decrying 1
defeats 1
defects 1
delano 1
demonstrators 1
desperately 1
despite 1
dewey 1
dictatorial 1
discover 1
discovers 1
disillusioned 1
dissent 1
dissidents 1
distributing 1
district 1
does 2
doremus 1
draws 1
each 1
earlier 1
easily 1
economic 1
editorials 1
effect 1
elected 1
eliminate 1
eliminates 1
emmanuel 1
employer 1
ends 1
enemies 1
enforce 1
enthusiastic 1
erosion 1
escape 1
escapes 1
eventually 1
evidence 1
exile 1
exposes 1
extravagant 1
family 1
far 1
fascism 1
first 1
flee 1
flees 1
for 4
force 1
form 1
former 1
france 1
francis 1
franklin 1
friend 1
friends 1
general 2
giving 1
goes 1
government 5
grasp 1
greatness 1
guards 1
had 3
haik 7
happen 1
harshly 1
has 1
have 1
having 2
he 9
helping 1
hence 1
here 1
him 1
himself 2
hired 1
his 12
hold 1
house 1
however 1
imprisoned 1
in 17
incarcerate 1
incarceration 1
including 2
increased 1
individual 1
inflation 1
influence 1
information 1
infuriating 1
inmates 1
into 2
invasion 2
ire 1
is 5
its 1
jessup 8
judges 1
kangaroo 1
kills 1
known 1
large 1
later 1
launching 1
leads 1
led 1
ledue 5
lee 1
legislators 1
less 1
liberal 1
lieutenants 1
local 1
locals 1
loyalists 1
majority 1
man 1
managed 1
manners 1
many 3
mass 1
materialize 1
measures 2
members 1
men 4
mexico 2
midwest 1
military 2
minnesota 1
minority 1
minute 3
misled 1
movement 1
much 1
murdered 1
necessary 1
need 1
new 4
newspapers 1
northeastern 1
not 1
novel 3
numbers 1
of 33
officers 2
old 1
on 4
one 2
onetime 1
open 1
operative 1
opponent 1
opponents 2
opposition 1
or 1
order 1
orders 1
organization 3
other 1
others 2
out 2
outlaw 1
over 1
painful 1
paramilitary 1
part 1
participation 1
particularly 1
party 1
passing 1
patriotism 1
periodical 1
perley 1
platform 1
policies 1
political 2
politician 1
populist 1
portion 1
portions 1
portraying 1
power 7
powerhungry 1
presided 1
president 6
previously 1
proclaims 1
prominent 1
promised 1
promising 2
propaganda 1
prospect 1
prosperity 2
protagonist 1
protests 1
publication 1
put 1
putsch 1
railroad 1
realizing 1
reassure 1
rebellions 1
regime 1
rejoins 1
relatively 2
remains 1
reminiscent 1
reorganize 1
resents 1
resist 1
resistance 2
respond 1
restore 2
results 1
rights 1
riots 1
roosevelt 1
rule 1
same 1
sarason 4
secretary 1
sectors 2
seduce 1
seize 1
senator 3
senior 1
sent 2
served 1
serves 1
shad 1
she 1
sissy 2
slandering 1
slow 1
so 1
some 1
soon 1
southern 1
spy 1
state 1
stated 1
staterun 1
states 5
staunch 1
steps 1
strength 1
subdividing 1
subsequently 1
succeeds 1
superior 1
supporters 1
suppressed 1
tasbrough 2
terrorize 1
terrorizes 1
that 4
the 47
them 2
themselves 2
then 1
theories 1
there 1
these 3
they 1
those 2
though 3
time 1
title 1
to 22
traditional 2
tried 1
tries 2
trowbridge 2
two 1
underground 5
united 4
unjustified 1
unsuccessfully 1
until 1
urging 1
usually 1
vacuum 1
values 1
vermont 1
vice 1
vie 1
vigilance 1
walt 1
war 1
weak 1
weakens 1
well 1
when 1
where 2
which 5
white 1
who 3
whom 1
windrip 13
with 4
women 1
working 1
would 1
writes 1
year 1
young 1
