364618
/m/01_vcl
/m/01_vcl
Jaroslav Hašek

{"/m/0vgkd": "Black comedy", "/m/06nbt": "Satire", "/m/05hgj": "Novel"}
a 19
abandoned 1
about 1
abruptly 1
affray 1
after 5
again 1
also 1
an 4
anabasis 1
and 8
anecdotes 1
any 1
apparent 1
appears 1
are 2
army 2
around 1
arrested 3
arriving 1
as 4
assassination 1
at 2
attempt 1
attentions 1
austria 1
austrian 1
authority 1
avoiding 1
barracks 1
batman 2
battalion 1
battle 1
be 2
because 1
becomes 1
before 3
begins 1
being 4
between 2
bohemia 2
book 1
border 1
breaks 1
bretschneider 1
budjovice 3
by 3
camp 1
can 1
cards 1
causes 1
causing 1
certified 1
chance 1
chaplain 1
characters 1
charge 1
charwoman 1
citizen 1
claims 1
close 1
combat 1
company 1
concealed 1
conceived 1
continued 1
craftily 1
decide 1
deflect 1
denies 1
deserter 2
directly 1
displays 1
done 1
eastern 1
effort 1
either 1
ejected 1
embarks 2
emperor 1
engaging 1
enter 1
enthusiasm 1
escorted 1
esk 1
execution 1
faithfully 1
fight 1
figure 1
finally 1
find 1
foot 1
for 2
from 1
front 3
further 1
galicia 1
gets 1
had 1
haek 1
has 1
have 2
he 11
him 2
his 7
hospital 1
however 1
hungarian 1
hungary 1
i 1
imbecile 1
in 13
includes 1
insane 1
insult 1
involved 1
involving 1
is 10
it 1
joins 1
journey 2
katz 2
lake 1
large 1
lieutenant 1
line 1
long 3
loses 1
luk 2
madhouse 1
making 1
malingerers 1
manages 1
manner 1
march 1
may 1
member 1
merely 1
minor 1
missing 1
much 1
narrowly 1
nationalities 1
news 1
no 1
not 1
novel 1
number 1
of 5
off 1
offices 1
on 5
one 1
or 3
orderly 1
otto 1
own 1
plot 1
police 1
politically 1
possible 1
posted 1
pow 1
prague 2
precipitates 1
preparatory 1
prison 1
prisoner 1
promoted 1
recruitment 1
regiment 1
rejoin 1
related 1
relations 1
remarks 1
respectable 1
rheumatism 2
russian 2
sarajevo 1
secret 1
sensation 1
sensitive 2
sent 2
serving 1
side 1
some 1
somewhat 1
southern 2
spy 1
stopping 1
story 1
street 1
strenuously 1
such 1
suffering 1
suspected 1
taken 1
that 3
the 21
them 1
then 2
this 1
though 1
time 1
to 21
told 1
towards 1
town 1
train 2
transferred 2
trenches 1
trying 1
two 1
undermining 1
unfinished 1
unfortunately 1
uniform 1
unit 2
usually 1
vain 1
vejk 7
very 1
war 3
wheel 1
where 1
whether 1
which 2
whose 1
with 2
world 1
would 1
zeal 1
