9341164
/m/0285537
/m/0285537
MaryJanice Davidson

{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/01qxvh": "Romance novel", "/m/072lff": "Paranormal romance"}
a 28
about 5
adopted 1
adoption 1
alcoholics 1
alcoholism 1
alice 1
all 1
allowing 1
almost 1
along 1
also 8
although 3
always 1
amends 1
an 5
analogous 1
and 39
andrea 1
anonymous 1
another 2
ant 1
antonia 6
anyone 1
are 8
around 1
as 6
ascension 1
ask 1
asked 1
assistant 2
at 3
attacks 1
attempt 1
attend 1
awaken 1
away 1
baby 5
bargaining 1
bashful 1
be 2
beautiful 1
beauty 1
because 2
become 1
been 1
before 2
beginning 2
begins 4
being 1
beings 1
berry 1
best 1
betrothed 1
betsy 36
better 1
between 2
bible 1
biological 1
birth 2
blood 4
book 5
boredom 1
bring 1
bruised 1
but 4
by 12
can 3
cant 1
cares 1
caution 1
changes 2
chapter 2
chapters 2
characterizing 2
characters 1
child 1
chip 1
circle 1
circumstances 1
civil 1
climax 1
close 1
club 1
college 1
compassion 1
conditions 1
confidante 1
confirm 1
conquer 1
consort 1
continually 1
contribute 1
control 1
convinced 1
cool 1
could 1
crashes 1
crochet 1
daniel 1
dares 1
daughter 2
daylight 1
dead 1
defeats 1
demand 1
demonic 1
denying 1
describes 2
despite 1
destined 1
devil 4
difficult 1
discussion 1
dislike 1
displays 1
distractions 1
do 2
does 1
dressed 1
drink 1
driven 1
drives 2
dropped 1
eager 1
earlier 1
early 2
earnest 2
elise 1
emergencyward 1
enough 2
enthusiastic 1
envies 1
eric 8
escapes 1
europe 1
even 1
everyone 2
expecting 1
fated 1
father 3
feed 1
fiends 3
fight 1
final 1
finding 1
first 1
firstperson 2
food 1
for 15
forgets 1
form 1
formed 1
framed 1
friend 3
friends 6
friendsroommates 1
from 8
frustrated 1
fugue 1
future 1
gave 1
george 3
getting 2
girl 3
given 1
gives 1
good 1
goodmans 1
grade 1
had 1
halfsister 3
handily 1
handle 1
harris 1
has 3
have 1
he 2
head 1
hell 1
hellfire 1
her 31
heritage 1
heroine 1
herself 5
herselfresembling 1
highlighted 2
him 1
his 6
historian 1
holy 1
home 1
hopes 1
hospital 1
hours 2
house 1
how 3
however 1
human 5
humans 1
impossible 1
in 6
include 1
including 1
indeed 1
indulges 1
inherited 2
insane 4
into 1
introduce 1
introduces 1
ironically 1
is 21
it 5
jessica 4
joins 1
juliet 1
just 1
kidnap 1
kill 2
killing 1
king 1
know 2
knowing 1
known 2
later 1
laura 17
learn 1
learning 1
lena 1
lets 1
life 1
like 1
likes 1
little 1
living 1
longtime 1
love 2
major 1
make 1
makes 1
making 2
marc 3
marked 1
marriage 1
marriages 1
meet 1
meeting 1
meets 1
memories 1
mercer 1
minister 1
minor 2
mistaking 1
mom 1
months 1
most 1
mother 2
much 3
narrative 1
near 1
necklace 1
needs 1
new 2
newborn 1
nice 1
nick 1
nightclub 1
no 1
noninvitation 1
nontraditional 1
not 4
noting 1
notverynice 1
novel 10
novels 1
now 1
occurs 1
odd 1
of 21
off 1
olinwho 1
on 2
one 1
opens 1
or 4
ordinary 1
other 1
out 2
over 2
overcome 1
own 1
paranormal 1
particularly 1
partners 1
passions 1
patient 1
peaceful 1
people 1
person 1
perspective 1
physician 1
playing 1
plot 1
point 1
policeman 1
possessed 1
possession 1
power 1
preceding 1
predicts 1
preferred 1
prepare 1
presbyterian 1
preside 1
professor 1
prologue 2
prologues 2
queen 2
quoting 1
rather 2
read 1
reading 1
reads 1
reason 1
receives 1
recently 1
recover 2
recovered 1
recovery 1
reinforce 1
related 1
relates 1
relic 1
remainder 1
reminds 1
remorse 1
resolves 1
return 1
returned 1
reveals 2
revelation 1
revolves 1
right 1
romance 1
romantic 1
romeo 1
roughly 1
same 1
sanity 2
satan 1
scheduled 1
scratch 1
search 1
second 2
see 1
seeking 1
semiserious 1
series 2
seventh 1
several 2
sharing 1
she 18
shed 1
sheep 1
shoe 1
shoes 1
shower 3
shown 1
side 1
since 2
sinclair 1
slip 1
smitten 1
snub 1
so 2
solutions 1
soon 1
sordid 1
spangler 1
spawn 1
speak 1
staff 3
state 2
stay 1
stepmother 3
stories 1
story 1
strike 1
such 1
sunset 1
supportive 1
sweetnatured 1
take 3
taylor 1
techniques 1
tell 1
temper 1
tempers 1
ten 1
tended 1
than 1
that 13
the 71
their 1
them 6
they 1
thing 1
thinking 1
third 1
thirst 1
thirtyfive 1
this 2
three 1
through 1
throughout 2
throwing 1
tina 2
to 41
together 1
told 1
too 1
touch 1
traditionally 2
treatment 1
tries 2
trip 1
trust 2
turned 1
turns 1
two 2
unable 1
unbridled 1
undead 1
unfortunately 3
unhappy 1
unheardof 1
union 1
unwillingly 1
up 3
upcoming 1
uses 1
usual 1
vampire 9
vampires 8
vampiric 1
vanquished 1
very 4
view 1
viewed 1
violence 1
visits 1
waiting 1
wakes 1
war 1
was 4
way 1
weakness 1
weakwilled 1
wealthy 1
weapons 1
wedding 4
wellknown 1
what 1
when 2
where 2
which 1
who 6
wholesome 1
whom 2
wife 1
will 1
win 1
wind 1
with 14
woke 1
woman 1
wonderfully 1
working 1
world 3
written 1
