6642870
/m/0gfvcs
/m/0gfvcs
Sergey Lukyanenko

{"/m/070yc": "Space opera", "/m/06n90": "Science Fiction"}
a 52
aboard 1
about 1
accidental 1
acquires 1
admiral 2
adopted 1
advanced 2
afford 1
after 4
against 1
agent 1
agents 1
agrees 2
ai 1
alien 2
aliens 1
all 7
alliance 1
allowing 1
almost 3
almosthuman 1
also 3
altos 3
an 15
ancient 1
and 41
another 2
anyone 2
anyway 1
apparent 1
apprears 1
approval 1
arano 2
are 9
area 1
armor 2
arrives 1
arthur 28
artificial 1
as 15
asked 1
asking 1
assumed 1
at 6
atan 7
athanatos 1
attempts 2
avenge 1
awaits 1
awful 1
back 3
backstory 1
badly 1
balance 1
base 1
based 1
basis 1
battle 1
battleship 1
bay 1
be 2
beaten 1
became 3
because 1
before 3
begins 1
being 5
beingmachine 1
believe 1
believes 1
believing 1
belonging 1
board 1
bodyguard 3
bombard 1
both 1
boy 2
branch 1
bring 2
bulrathi 2
but 5
by 15
call 1
calls 1
can 4
capital 1
case 1
challenge 1
characteristics 1
characters 1
chase 1
city 1
civil 1
clashes 1
clear 2
client 1
clone 2
clones 1
close 2
coconspirator 1
colonists 1
colony 1
combat 1
combatants 1
commander 1
commit 1
companion 1
company 2
concern 1
conditioned 2
conflict 1
continuing 1
course 1
covered 1
coveted 1
create 1
created 6
creating 1
creation 1
crime 1
curtis 27
cyborg 2
darloks 5
dead 2
death 2
decades 2
decided 1
decides 2
decision 1
defended 1
delirium 2
demanding 1
describes 1
desires 1
destination 2
destroy 2
destroyed 1
destroyer 2
destroying 1
details 1
determination 1
devastating 1
device 5
devices 1
did 2
died 1
dies 1
discover 1
discovered 1
disobeying 1
do 1
down 1
drastically 1
dreams 1
dropped 1
dropping 1
due 1
during 1
dutch 2
dying 2
earth 3
else 1
emperor 6
emperors 1
empire 10
end 1
ends 2
engineered 1
engineers 1
enhancements 1
enters 1
entire 1
entired 1
entrusted 1
equal 1
escape 1
espionage 1
established 1
eternal 1
even 1
eventually 1
every 1
exactly 1
excalibur 1
excel 1
exceptional 1
exchange 1
exclusive 1
executions 1
explains 1
explodes 1
exterminated 1
face 1
faces 1
facility 1
fact 1
fail 1
failure 1
families 1
family 4
far 2
fastmultiplying 1
father 1
fight 2
finally 4
find 4
finding 1
finds 3
fine 1
first 4
fleet 2
follow 1
foot 1
for 16
force 1
forces 4
forever 1
form 1
formed 2
found 1
four 1
free 3
friendship 1
frogshaped 1
from 6
full 1
future 1
galactic 1
galaxy 1
gave 1
genetic 1
genetically 1
get 2
gets 1
given 2
giving 2
go 1
goal 2
goauldlike 1
god 3
going 2
government 1
grail 9
greek 1
greeting 1
grey 3
ground 1
group 1
grudging 1
guided 1
gun 1
hands 2
hangar 1
has 3
have 3
he 22
head 1
headed 1
heavily 1
heirs 1
help 1
helps 1
her 1
here 1
hides 1
higher 1
him 8
himself 3
hires 1
his 28
holding 1
holds 1
homeworld 1
honest 1
hope 1
hopeless 1
hostilities 1
how 2
however 1
human 10
humans 4
hypership 1
illegal 1
illusions 1
immortal 1
immortality 1
immortals 1
imperial 9
impossibility 1
in 16
including 1
increased 1
infiltrate 1
instead 2
interstellar 1
into 3
invaded 1
involved 1
is 41
isabella 4
it 15
its 1
just 1
kal 6
kay 31
kid 1
kidnapped 1
kidnapping 1
killed 2
killer 1
killing 2
know 2
knowledge 1
known 5
knows 1
largely 1
law 2
leads 1
