6245649
/m/0fypwg
/m/0fypwg
Harry Turtledove
1987
{"/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel"}
a 1
after 1
american 1
an 2
and 2
are 1
around 1
born 1
by 1
childhoods 1
commits 1
death 1
differently 1
each 2
estranged 1
events 1
family 1
father 3
features 1
find 1
french 1
friend 1
frkalidoscope 1
gi 1
girl 1
he 1
homes 1
in 1
is 2
killed 1
kills 1
later 2
lawyer 1
life 1
mother 3
of 3
one 1
out 1
parents 1
part 1
placed 1
quite 1
raised 1
reason 1
reunited 1
revolves 1
roman 1
separated 1
sisters 1
spent 1
story 2
suicide 1
that 1
the 9
their 4
them 1
then 1
they 3
three 1
to 1
where 1
who 1
why 1
