2799854
/m/083g9v
/m/083g9v
Jennifer Rowe

{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 13
after 1
again 2
ago 2
allow 1
allun 1
along 1
also 1
ancestors 1
and 18
annad 2
answer 1
apart 1
are 2
arm 1
as 2
at 2
baker 1
because 1
become 2
been 2
before 1
began 1
behind 2
bit 1
blaze 1
born 1
brainwashing 1
branches 1
bring 1
bringing 1
bunch 1
burn 1
burning 1
burns 1
but 4
by 6
can 1
captivity 1
captors 1
centuries 1
city 2
command 1
companions 2
contained 1
correspondence 1
decline 1
discover 1
do 2
dry 1
during 1
each 2
enemies 1
eventually 1
face 1
family 1
fate 2
fiery 1
fingers 2
fire 1
five 6
flames 2
flying 1
for 1
forgetting 1
form 1
four 1
friend 2
from 2
gathered 1
gentle 2
gift 2
given 1
gives 1
grach 1
grandchildren 2
grandfather 1
grass 1
greatest 1
green 2
guide 1
had 2
hand 2
handy 1
happened 2
has 1
have 2
he 1
he3s 1
hear 1
helped 1
her 1
him 1
his 6
home 1
hope 1
hundred 1
in 5
into 3
is 5
it 1
its 1
journey 1
keeps 1
known 1
land 2
later 1
laugh 1
leave 2
left 3
like 1
lineage 1
little 1
live 1
long 1
loss 1
many 1
maris 2
masters 1
medallion 1
metal 1
monster 1
must 1
nature 1
new 1
norris 1
not 3
now 1
of 6
on 3
once 1
only 3
open 1
order 1
others 1
outgoing 1
own 1
owned 1
pain 3
painted 1
part 1
people 6
perlain 1
plays 1
pride 1
prisoners 1
prophecy 2
quest 1
reach 1
rejoin 1
repel 1
rescue 1
return 2
rin 5
rin3s 1
rowan 8
rowan3s 1
safely 1
secret 1
separated 1
settled 1
several 1
shaaran 1
shadows 1
she 2
sheba 5
sheba3s 1
should 1
show 1
shy 1
sister 1
slaves 1
sleeps 1
snatched 1
so 1
something 1
special 1
story 1
strange 1
strength 1
strengths 1
strong 2
summon 1
summons 1
survivors 1
taking 1
tale 1
tell 2
terror 1
that 5
the 27
their 7
them 4
then 1
there 2
they 2
this 3
those 1
three 2
thrilling 1
through 1
throwback 1
till 1
time 1
times 1
timid 1
to 12
travel 1
travelers 1
traveller 1
truth 3
turning 1
turns 1
vain 1
varied 1
warrior 2
warriors 1
was 2
weak 1
were 1
what 3
when 4
witch 1
with 2
would 1
years 1
younger 1
zebak 7
zeel 1
