9099503
/m/027xmv6
/m/027xmv6
Marie Jones


15 1
a 10
above 1
absolute 1
after 1
all 1
also 1
and 9
are 1
as 1
backcloth 1
bare 1
blasket 1
both 1
box 1
broadway 1
by 5
c 1
calls 1
cast 1
centers 1
changes 1
characters 2
charlie 1
cloudy 1
comedy 1
commits 1
conflicts 1
conlon 1
costume 1
county 1
create 1
crew 2
daily 1
depicting 1
derived 1
design 3
dexterity 1
drama 1
drowning 1
efforts 1
employed 1
end 1
extras 1
feel 1
film 2
filming 1
for 1
from 1
gender 1
hat 1
he 1
here 1
himself 1
his 1
hollywood 1
humiliated 1
in 5
ireland 1
irish 1
is 6
islands 1
it 1
jack 1
jacket 1
jake 1
james 1
kerry 1
key 1
kirwan 1
life 1
lighting 1
like 1
local 1
london 1
mcfetridge 1
men 1
minimum 1
much 2
myriad 1
notion 1
of 10
often 2
on 1
one 1
originally 1
overrun 1
perform 1
play 2
pockets 1
point 1
production 1
proper 1
quinn 1
reality 1
romanticized 1
row 1
rural 1
set 2
shoes 1
shows 1
simple 1
sky 1
stars 1
stones 1
stools 1
story 1
suicide 1
swift 1
switching 1
symbolising 1
teenager 1
that 3
the 23
there 1
this 1
tiny 1
to 2
town 2
trunk 1
two 2
upon 1
used 1
versions 1
voice 1
was 2
west 1
when 1
who 1
with 3
women 1
