7088463
/m/0h3ldv
/m/0h3ldv
K. A. Applegate
1999-10
{"/m/014dfn": "Speculative fiction"}
23 1
a 40
about 7
abundant 1
accuses 1
actor 1
actually 1
addict 1
addicted 1
adjourned 1
admires 1
adopted 1
adoption 1
after 5
again 1
against 3
agree 1
agrees 3
aliens 1
alive 1
all 5
allison 6
allout 1
alone 1
along 1
also 1
altman 1
america 1
an 3
anati 1
and 56
andalite 8
andalites 1
angry 1
animals 1
animorphs 4
another 2
any 1
are 3
argues 1
argument 1
as 4
asks 3
aspects 1
assumes 1
asylum 1
at 9
attack 4
authentic 1
away 1
back 5
bandits 6
be 7
because 3
become 5
been 3
before 1
being 1
better 1
between 1
birth 1
boat 3
body 3
both 3
boy 1
brain 1
break 1
bring 1
brings 1
brought 2
bug 1
bum 1
bumps 1
but 2
by 9
called 2
calls 1
can 4
cant 1
capsizing 1
captors 1
capture 1
care 2
causing 1
cell 1
charges 5
chee 1
children 9
chronicles 2
city 1
claims 4
class 3
club 1
complete 1
completed 1
consider 1
considers 1
constructed 1
contacted 1
containing 1
continue 3
continues 1
controller 2
controllers 1
convinced 1
council 11
country 1
create 1
created 1
credibility 1
crossed 1
cult 1
current 1
currently 1
custody 1
darkness 1
darwin 1
david 1
dead 1
deal 1
death 3
decides 1
defeated 1
demands 7
demonstration 1
detailed 1
did 4
didnt 1
died 1
different 1
disguise 1
dispose 1
disposed 1
does 2
doesnt 3
dropped 1
drowns 1
drug 1
dump 4
dumps 1
during 3
dying 1
earth 8
easy 1
eat 1
edriss 47
edrissfivesixtwo 1
either 1
empire 3
ends 2
enemy 1
enjoying 1
enough 1
enslave 1
enter 1
escaped 1
essam 10
essamhildy 1
eva 5
events 3
eventually 7
everyone 1
exactly 1
extremely 1
fail 1
fair 1
fake 1
falling 1
far 3
farce 1
fastforward 1
fell 1
fellow 1
fighter 1
finding 1
finds 1
first 1
five 4
fly 1
fooled 1
for 9
forcing 1
former 1
found 4
four 1
free 1
from 4
fused 1
garoff 9
gervais 4
get 3
given 4
go 1
goodbye 1
got 1
group 2
guard 1
gulf 1
had 9
happened 1
has 6
hasnt 1
have 1
havent 1
he 8
head 2
heads 3
held 1
her 35
hidden 1
hildy 5
him 9
his 2
hollywood 1
holograms 1
home 1
homeless 1
homeworld 5
horkbajir 1
hospital 2
host 7
hosts 1
house 1
how 3
however 4
human 2
humancontroller 1
humans 9
husband 1
if 2
in 13
incompetence 1
infest 1
infestation 1
infested 5
infests 3
infiltration 1
information 2
informed 1
informs 1
inside 1
intelligent 1
intending 1
intention 1
interrupts 1
into 4
invasion 2
iraqi 1
is 29
it 5
jenny 3
just 1
kandrona 3
keep 1
kid 1
kidnapped 1
kill 5
killed 3
kim 4
knock 2
land 1
last 1
later 1
leave 3
leaves 2
left 2
lies 1
life 1
lines 3
live 3
longtime 1
look 1
looking 2
lore 1
lot 1
love 2
lowenstein 1
lunch 1
make 2
makes 1
marco 7
meaning 1
member 1
members 1
memories 2
memory 7
minus 1
moon 1
more 3
most 1
mother 3
much 1
na 1
named 3
needs 2
never 2
new 1
news 1
not 3
ocean 1
of 38
off 1
on 6
one 13
only 4
or 1
orders 1
out 7
outside 1
over 3
part 2
particular 2
penalty 1
phone 3
pick 1
planet 2
point 7
pool 4
powerful 3
present 2
producer 1
proof 2
prosecutor 1
prove 1
purposely 1
pushing 1
put 1
ram 1
real 1
realises 1
realize 1
realizing 1
reason 3
receives 2
recording 1
recruit 1
recruits 1
released 1
reluctantly 1
reported 1
rescued 1
retired 1
returned 2
returning 1
revealed 1
room 1
running 1
sailing 1
same 1
saw 1
say 1
saying 2
says 11
scientist 1
scouts 1
scoutsgirl 1
screaming 1
search 1
sees 2
sent 1
sentenced 1
sentences 1
set 1
sharing 2
she 37
ship 2
shipboard 1
short 1
showing 1
simply 2
since 1
skrit 1
slow 2
so 5
soldier 1
son 1
soon 2
species 5
stalls 1
start 2
started 1
starts 3
starvation 2
stationed 1
steal 1
steals 1
still 2
story 7
struggling 1
style 1
subvisser 1
suddenly 3
survive 1
suspended 1
sympathizing 1
take 3
taken 6
takes 2
taking 1
talking 1
talks 1
tape 1
task 1
tasks 1
taxxon 4
television 1
tell 1
telling 3
tells 2
testimony 1
than 1
that 26
the 103
their 3
them 9
then 5
there 1
these 1
they 15
thinking 2
thirteen 6
this 10
three 24
tied 1
time 2
to 49
toilets 1
told 2
training 1
transferred 1
treason 2
trial 4
trick 1
trip 1
troops 2
true 2
truth 1
twins 1
two 3
unable 1
unconscious 2
under 1
underestimating 1
underground 1
unfortunately 2
until 1
up 3
used 2
various 1
verdict 2
view 3
visser 32
voluntary 1
waiting 1
want 2
war 4
was 12
way 2
went 1
were 7
what 1
when 3
where 3
whether 1
which 5
while 4
who 6
why 1
will 3
win 1
with 11
within 1
witness 1
work 3
world 1
would 4
year 1
yeerk 11
