6843616
/m/0gs5qg
/m/0gs5qg
Terry Brooks
1988
a 10
abernathy 6
act 1
ago 1
agree 1
along 2
an 3
and 15
appears 1
ard 6
arrive 1
artifacts 1
as 2
at 2
attempt 1
away 1
back 1
banished 1
battle 1
before 1
ben 7
billionaire 1
botched 1
bottle 5
bunion 1
but 1
by 1
can 1
canine 1
castle 1
champion 1
chase 1
collection 1
confront 1
conjure 1
conscience 1
contains 1
continues 1
convince 2
corrupts 1
court 2
creations 1
creature 1
cruel 1
cutting 1
darkling 5
daughter 1
decide 1
decides 1
defeat 1
destroyed 1
detained 1
dragon 2
earth 3
elizabeth 1
employees 1
ended 1
ends 1
estate 1
evil 2
exchanged 1
fairy 1
filip 1
find 1
finds 1
flees 1
fly 2
for 1
former 2
friends 1
from 2
genie 1
gets 1
ghome 1
give 2
gives 1
gnomes 1
hands 1
has 1
have 1
he 1
help 1
high 1
him 2
himself 1
his 8
holiday 1
however 2
human 1
in 7
inadvertently 1
influence 1
is 6
itch 1
items 1
its 2
keeps 1
knight 1
knowing 1
landover 5
last 1
later 1
law 1
lord 1
magic 2
magical 2
manages 1
master 1
meanwhile 2
medallion 3
menagerie 1
michel 1
miles 1
mists 1
moment 1
nightshade 5
not 1
now 1
of 12
off 1
old 1
one 2
only 1
order 1
paladin 2
part 1
partner 1
party 1
personal 1
perverse 1
place 1
police 2
power 1
prince 1
pursue 1
questor 9
rare 1
rescue 1
rescued 1
restore 1
restored 1
return 1
rhi 6
royal 1
scribe 1
self 1
sends 1
series 1
shrink 1
similar 1
sot 1
source 1
specifically 1
spell 2
state 1
station 2
stolen 1
stopper 1
strabo 1
strange 1
summon 1
that 3
the 27
thefts 1
them 1
thews 1
they 1
through 2
to 23
travel 1
try 1
up 2
use 1
uses 4
using 1
vast 1
version 1
was 1
washington 1
who 2
willow 2
witch 1
with 4
wizard 1
years 1
