9837350
/m/02ptjvk
/m/02ptjvk
Sam Enthoven
2006-09-07
a 7
after 3
afterward 1
again 1
all 2
also 1
and 4
are 1
as 2
awaken 1
awakening 1
begins 1
best 1
brotherhood 2
by 1
charlie 5
composed 1
created 1
death 1
demon 2
demonesque 1
destroy 1
destroying 1
divorced 1
dragon 1
empire 1
entering 1
esme 2
essentially 1
even 1
farrell 1
father 1
first 1
for 1
friend 1
from 1
gateway 1
gets 1
girl 1
gladiator 1
goal 1
has 1
he 3
hell 2
help 1
her 1
him 1
his 2
however 1
imprisoned 1
in 2
into 1
is 4
it 2
jack 2
joins 1
kill 2
known 2
leave 1
life 1
manages 1
meeting 1
members 2
of 8
one 1
own 1
parents 1
pits 1
possessed 2
reaching 1
recently 1
released 1
restaurant 2
revealed 1
roman 1
roots 1
save 1
scourge 5
sleep 1
society 1
soldiers 1
soon 4
sorts 1
species 1
stop 1
story 1
suddenly 1
team 1
the 18
their 2
they 1
to 6
trained 1
tree 1
true 1
universe 2
unknowingly 1
until 1
up 1
upon 1
which 1
who 3
whose 1
will 1
wishes 1
with 3
