11762867
/m/02rrf_g
/m/02rrf_g
Bernard Cornwell
2007-09
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 7
ability 1
across 2
aethelflaed 3
aethelred 4
after 1
again 1
against 1
alfred 7
all 1
ally 1
among 1
amongst 1
an 2
and 26
anglia 3
appears 1
are 2
arms 1
army 1
as 3
assault 1
at 2
attack 1
attacking 2
attacks 1
away 1
back 1
battle 1
be 3
beats 1
become 1
behind 1
being 1
between 2
blow 1
bring 1
brother 1
brothers 2
building 1
but 1
by 8
camp 1
can 1
captors 1
caught 1
chance 1
chieftain 1
christian 1
city 1
clear 1
climax 1
combat 1
come 1
comrade 1
confront 1
contacted 1
convinces 1
corpse 1
crew 1
crippled 1
crucifixion 1
cruel 1
danes 1
danish 1
daughter 1
decides 1
decreed 1
defeated 1
defenders 1
defense 1
desperate 1
dislikes 1
dislodge 1
distraught 1
does 1
earl 1
earth 1
east 3
either 1
ends 1
enemies 1
erik 5
experienced 1
fallen 1
fates 1
father 2
fighter 1
fighting 1
foes 1
follows 1
for 3
force 1
forces 1
former 1
forth 1
fortified 1
fortune 1
fosterbrother 1
fought 1
free 1
friend 1
from 5
front 1
gain 1
given 1
giving 1
go 1
graveyard 1
haesten 5
have 5
he 9
her 5
him 5
himself 1
his 11
holed 1
however 1
hurt 1
if 2
illegitimate 1
in 10
initial 1
injures 1
inlet 1
interfere 1
into 1
invites 2
is 14
it 1
join 2
killed 2
king 4
knowing 2
larger 1
leaders 3
leaps 1
learns 2
leave 1
leaving 1
london 6
long 1
lord 1
lose 2
love 1
make 1
manages 1
marshland 1
meeting 1
meets 1
men 1
mercia 5
mounts 1
mouth 1
narrative 1
nearby 1
negotiate 1
none 1
norse 5
northumbria 1
oath 1
occupied 1
of 11
offer 1
often 1
old 1
on 5
one 1
onto 1
open 1
ordered 1
osferth 2
others 1
out 1
over 3
own 2
particularly 1
plan 2
plot 2
ponders 1
powerful 1
price 1
prisoners 4
process 1
promising 1
promptly 1
proposition 1
pyrlig 6
quickly 1
ragnar 2
raid 1
ransom 1
recognizes 1
refuge 1
rescued 1
retire 1
returning 1
right 1
rise 1
rule 1
safe 1
sally 1
save 1
saxons 1
seaborne 2
sent 1
serving 1
ship 1
ships 1
sigefrid 10
single 1
smiles 1
some 1
son 1
soninlaw 1
spirit 1
stay 1
stealth 1
story 1
struck 1
success 1
summoned 1
system 1
takes 1
taking 1
tell 1
temptation 1
terms 1
thames 2
that 4
the 34
their 5
them 4
then 1
they 4
this 2
threat 1
throne 1
to 28
too 2
torn 1
towns 1
traffic 1
tricks 1
turn 1
two 1
uhtred 17
up 2
victory 1
vikings 1
walls 1
warriors 1
was 1
watch 1
waterside 1
wedged 1
welshman 1
wessex 5
what 2
when 2
where 3
whereupon 1
which 1
while 2
whilst 1
who 3
whom 2
wife 1
will 2
willing 1
with 5
without 1
works 1
