4213188
/m/0bq8sp
/m/0bq8sp
Jacqueline Wilson
2004-03-04
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
a 5
adjusting 1
alice 11
all 1
and 12
another 1
as 1
at 2
athletic 1
away 1
be 1
because 1
been 2
best 1
birth 1
birthday 2
bond 1
book 1
born 1
brings 1
but 1
cake 1
card 1
complete 1
day 1
diary 1
discover 1
distance 1
does 1
each 3
end 1
ends 1
eventually 1
ever 3
every 1
everything 1
face 1
family 1
father 1
flora 4
floras 1
forever 1
friend 1
friends 5
from 1
gemma 9
gets 1
graceful 1
has 2
hates 1
have 5
her 1
hospital 1
hundreds 1
in 2
inseparable 1
is 6
it 2
job 1
known 1
leads 1
life 1
lives 1
making 1
messy 1
miles 1
move 1
moving 1
navigate 1
new 2
now 1
of 4
on 2
once 1
only 1
opposites 1
other 3
posh 1
possibility 1
reads 1
really 1
rough 1
ruined 1
same 4
seems 1
share 1
she 3
since 2
sleepover 1
stay 2
story 2
struggle 1
that 2
the 11
their 3
theme 1
there 2
they 3
throughout 1
throws 1
tidy 1
time 1
to 5
together 1
true 1
unbreakable 1
until 1
visits 1
waters 1
we 2
were 1
when 3
while 1
whole 2
will 1
wish 2
with 2
without 1
year 1
