2052603
/m/06hs33
/m/06hs33
Dr. Seuss
1990-01-22
a 2
addressed 1
always 1
an 1
and 3
as 2
begins 1
being 1
book 1
by 1
called 1
cheerfully 1
concludes 1
continues 1
decision 1
discover 1
does 1
encountering 1
end 1
eventually 1
everyone 1
explore 1
for 1
geometrical 1
happen 1
he 2
implied 1
in 1
is 3
it 1
landscapes 1
leave 1
narrator 1
not 1
of 2
ominously 1
on 1
open 1
pass 1
place 4
places 2
polychromatic 1
protagonist 3
reader 1
relating 1
represents 1
several 1
simply 1
something 1
spurred 1
story 1
that 1
the 11
things 1
thoughts 1
through 1
time 1
to 3
town 1
travels 1
unnamed 1
visit 1
waiting 3
where 1
which 1
who 1
will 2
with 2
