25901656
/m/09s5xn2
/m/09s5xn2
Paolo Bacigalupi
2009-09
{"/m/03t3dt": "Biopunk", "/m/06n90": "Science Fiction"}
a 45
abandoned 1
able 1
about 2
abused 1
access 3
accuses 1
acts 2
against 3
agony 1
agrigen 5
akkarat 11
algae 2
all 3
allpowerful 1
alone 1
already 2
also 4
altered 1
although 1
among 3
an 5
and 54
anderson 21
androgynous 1
apartment 1
apology 1
appoints 2
are 7
armed 1
army 1
arranges 1
arrest 1
arrive 1
arrives 1
arsenal 1
as 17
assassinating 1
assassination 3
assumes 1
at 4
atone 1
ayutthaya 1
back 1
bangkok 7
barriers 2
baths 1
be 4
because 1
becomes 3
been 2
blame 1
bodies 1
body 1
bodyguards 1
bribe 2
bribing 1
brilliant 1
businessman 1
but 3
by 8
call 1
capital 4
captain 2
capture 1
carlyle 5
cash 1
caught 1
cause 1
chance 1
change 1
chaopraya 5
charges 1
chief 1
child 2
chinese 2
city 2
civil 1
climate 1
club 2
clues 1
collaborator 1
come 1
community 1
companion 1
company 1
condemned 1
conspiracy 1
contain 1
containing 2
contraband 1
contracted 1
control 1
copiously 1
costly 1
could 1
coup 1
courage 1
courageous 1
course 1
cover 1
critical 1
customers 1
customs 1
day 2
deal 2
decided 1
decides 1
declare 1
defense 1
deposited 1
designed 1
designs 2
destroy 1
destroyed 3
destroys 2
determined 1
difficult 1
dirigible 2
discovered 1
discovering 1
discovers 3
disposed 1
dna 1
do 1
doesnt 1
doomed 1
dream 1
dtat 1
dung 1
earlier 1
easily 1
economic 1
eight 1
elephant 1
embezzled 1
embezzles 1
emiko 14
encounter 1
encounters 1
energy 1
enforcement 1
engineer 1
environment 4
escape 2
escapes 2
escaping 1
ethnic 1
even 1
eventually 1
exchange 1
executes 1
explain 1
extremely 1
fact 1
factory 7
facts 1
failed 1
fails 1
failure 1
falling 1
false 1
fellow 1
fertile 1
first 1
fix 1
fixated 1
flight 1
flooded 1
flooding 1
for 11
forcing 1
foreign 1
former 2
free 1
from 7
front 1
fulfilling 1
gangster 1
genehacked 1
general 3
genetic 1
genetically 1
geneticist 1
gets 1
gibbons 4
gigajoules 1
girl 2
gives 2
gleans 1
glory 1
gm 3
goes 1
grants 1
greed 1
grim 1
gunpoint 1
hackles 1
had 3
handler 1
harm 1
has 7
have 2
he 21
help 2
her 19
hero 1
hidden 1
hiding 1
him 8
his 19
hitman 1
hock 9
holds 1
home 1
hope 1
hot 1
humanoid 1
humiliated 1
humiliating 1
icon 1
identifies 1
identify 1
if 2
illegal 1
implied 1
in 21
incident 1
infatuated 1
infiltrates 1
information 2
informed 1
intercepts 1
into 3
introduces 1
is 23
it 3
jaidee 7
japanese 2
japanesedesigned 1
job 2
kanya 10
kathoey 1
kept 1
kidnap 1
killed 3
kills 2
kind 2
kinkspring 4
knowing 1
known 1
labourer 1
ladyboy 1
lake 1
last 1
learn 2
learns 1
leave 1
leaves 1
let 2
levees 1
lieutenant 1
life 3
lifethreatening 1
limits 1
live 2
lives 1
living 1
location 1
lord 1
loss 1
lowering 2
lye 1
made 3
mai 4
main 1
make 2
makes 3
malaysian 1
malfunction 1
man 2
manage 1
manager 1
manufacturing 1
martyr 1
mass 1
master 2
may 1
meanwhile 2
measure 1
meet 1
megodont 1
men 2
military 1
mind 2
ministry 6
mission 1
mobilizes 1
model 1
modifications 1
mole 1
monastery 1
money 1
moneyforplans 1
monk 1
monkhood 1
monks 1
most 2
move 1
muay 1
much 1
murdered 1
murderers 1
must 1
mutilated 1
mysterious 1
named 1
near 1
needed 1
negotiate 1
never 1
new 12
nick 1
north 1
now 3
nurses 1
obey 1
of 40
off 2
offers 1
officials 1
on 3
one 2
opens 1
opportunity 1
or 1
orchestrates 1
orders 1
organism 1
origin 1
other 3
overheatinga 1
own 2
owner 1
owns 1
patiently 1
patronized 1
paying 1
people 4
person 1
persuade 1
petty 1
place 1
plague 7
plagues 1
plot 1
plotting 1
plunged 1
police 1
pore 1
possible 2
power 1
powerful 2
pracha 5
pressure 1
pretext 1
previous 1
previously 1
price 1
private 1
problem 1
proceeds 2
process 1
produce 1
programmed 1
promises 1
prone 1
protecting 1
protg 1
prove 1
public 1
purge 1
queen 2
race 1
raises 1
raleigh 3
ransom 1
real 1
recognizing 1
refuge 3
refugee 1
refuses 1
regain 1
regent 2
regime 1
reign 1
reigns 1
released 1
relocate 1
reluctantly 1
remain 1
renegade 1
reneges 1
repel 1
reports 1
representative 1
rescued 1
reserves 1
return 1
revealed 1
revere 1
revolutionary 1
rice 1
richard 2
rise 1
rogue 1
rojjanasukchai 1
routinely 1
run 1
running 1
safe 1
safer 1
safety 1
same 1
saved 1
saying 1
scientist 1
secret 1
seedbank 8
seek 1
seeks 2
seng 9
sets 2
sex 1
sexually 1
she 14
shirts 6
site 1
skills 1
skin 1
slave 1
slowly 1
smooth 1
smuggled 1
snaps 1
so 2
somdet 5
some 1
soon 1
source 1
spare 1
spares 1
spy 1
start 1
steal 2
steals 1
sterilizes 1
store 1
strain 1
structure 1
subdued 1
submits 1
such 2
supply 1
surreptitiously 1
suspected 1
suspects 1
take 1
takes 2
tanks 2
team 1
tells 2
terror 1
thai 5
thailand 8
that 10
the 96
themselves 1
then 3
there 3
they 5
things 1
this 5
threatening 1
through 2
thus 1
tiger 2
time 3
to 53
together 1
too 1
top 1
traces 1
track 1
trade 4
trading 1
train 1
tries 2
triumphant 1
true 1
trying 2
unknown 1
unleashes 1
unsmiling 1
up 3
upright 1
uprising 1
use 1
used 2
via 1
victims 1
village 3
visits 1
waits 1
war 1
was 1
we 2
when 3
where 2
which 2
white 7
who 5
whose 1
wife 3
will 2
windup 2
windups 1
wing 1
with 16
without 1
woman 1
work 1
workers 1
world 1
would 2
years 2
young 2
