30408866
/m/0g5snsj
/m/0g5snsj
Clare Vanderpool
2010-10-12
117 3
136 1
a 9
abandonment 1
abilene 8
about 2
accidentin 1
account 1
adopted 1
adventures 2
all 1
along 2
ambiguous 1
an 5
and 15
around 1
arrival 1
arrives 1
as 6
assimilates 1
assistance 1
avaricious 1
befriends 1
begin 1
belonging 1
book 1
both 1
box 1
boy 1
but 1
by 4
chance 1
change 1
changes 1
character 1
citizens 1
class 1
cleavages 1
clippings 1
clues 1
clutches 1
coal 1
codename 1
coincides 1
community 2
conception 1
conspicuous 1
debt 1
desires 1
develops 1
different 1
dignity 1
discovery 1
discuss 1
divided 1
diviner 1
economic 1
encounter 1
enigmatic 1
era 1
eras 1
escape 1
ethnic 2
events 1
extensive 1
extensively 1
familial 1
father 2
feel 1
feeling 1
find 1
finds 2
firstperson 1
focuses 1
for 1
forced 1
forever 1
former 1
found 1
friend 2
friends 1
from 2
garnered 1
gillen 1
goes 1
hardware 1
has 1
he 1
heavily 1
helping 1
helps 2
her 6
herself 1
himself 1
his 2
historical 1
history 1
hoping 1
however 1
hungarian 1
immediately 1
immigration 2
in 14
include 1
independence 1
independent 1
influenza 1
inside 1
into 2
is 2
its 1
jinx 9
kansas 1
known 2
learn 1
letters 3
lettie 1
life 1
living 1
livingalmost 1
local 1
manifest 12
mementos 1
mentioned 2
mineowners 1
miners 1
mining 2
miss 5
mission 2
moon 1
mysterious 1
narrative 1
ned 4
new 1
newspaper 1
not 1
october 1
of 23
off 2
old 1
on 3
once 1
one 2
only 2
origin 2
orphan 1
out 1
outsider 2
outsiders 1
over 1
overlap 2
own 1
owner 1
parallel 1
people 1
perceived 1
play 1
presentday 1
primary 1
progresses 1
prohibition 1
prove 1
pulled 1
rattler 1
recounting 2
regain 1
relationship 2
revolves 1
road 1
role 1
roles 1
ruthanne 1
sadie 5
search 1
second 1
security 1
sets 1
skills 1
small 1
son 1
spanish 1
spending 1
spy 2
store 1
stories 1
story 4
storyline 2
storylines 1
such 1
summer 1
supplemented 1
tells 1
that 2
the 27
their 3
themes 1
themselves 1
thirdperson 1
this 1
to 6
town 2
towns 1
trainhops 1
trains 1
truths 1
tucker 1
two 3
ultimately 1
uncover 1
uncovers 1
unmask 1
unpredictable 1
war 2
way 1
welcome 1
when 1
which 1
while 2
who 2
will 1
with 5
without 1
working 1
world 1
worth 1
young 1
youths 1
