1414704
/m/04_mkg
/m/04_mkg
Steven Erikson
2000-09-01
3 1
500 1
50000 1
7th 4
a 37
able 2
accept 1
achieving 1
acquired 1
acquires 1
activated 1
acts 1
adjunct 1
admiral 1
agree 1
alive 1
all 2
along 2
also 3
although 1
among 2
an 6
and 48
andii 2
animated 1
announce 1
apocalypse 4
apocalyptic 1
appearance 1
appointed 1
apprehended 1
apsalar 4
aptorian 3
are 13
aren 4
arisen 1
armies 1
army 5
around 2
arrives 1
as 7
ascendancy 1
ascendants 1
assassin 1
assassins 1
assumes 1
at 4
attached 1
attack 1
attacked 1
attacking 1
attention 1
attracting 1
avoid 1
await 1
awesome 1
azath 1
backwash 1
baralta 2
baudin 3
bay 1
be 3
beasts 1
becomes 1
been 5
beginning 1
behold 1
being 2
beings 1
believed 1
belonging 1
beneth 1
blade 1
blades 2
bluff 1
board 2
body 1
bodyguard 1
bolstered 1
bolt 1
book 3
borders 1
bothered 1
bridgeburners 3
but 5
by 20
camp 1
can 2
capital 2
captain 2
chain 1
chaos 1
charts 1
circular 1
cities 6
city 6
civilians 3
coast 5
colleague 1
coltaine 3
comes 1
command 1
commander 2
compound 1
consciousness 1
continent 1
contingent 1
continue 1
control 1
converge 1
convergence 1
convince 1
corpses 2
corruption 1
cousins 1
crave 1
crokus 3
cross 1
crossbow 1
cull 1
darujhistan 1
deadhouse 1
deck 1
defend 1
delivered 1
demon 2
depart 1
desert 5
desiring 1
destination 1
disgust 1
divers 3
dogs 1
down 1
driven 1
dryjhna 1
duiker 3
earlier 1
earth 1
east 1
eccentric 1
edur 2
eerily 1
effect 1
ehrlitan 1
empire 2
empress 3
encamped 1
encounter 2
energy 1
ensnared 1
ensues 1
escape 2
escapees 1
escort 2
escorted 1
evacuate 1
even 1
event 1
eventually 1
excavating 1
exchange 2
excommunicated 1
exercises 1
eye 1
falls 1
far 1
felisin 3
fend 1
fener 3
fiddler 6
fight 1
find 8
finds 2
fishergirl 1
fist 1
flails 1
fleeing 1
flees 1
fleet 1
for 5
forces 2
forcing 1
form 1
former 1
friendly 1
from 10
ganoes 1
garrison 1
gathering 1
gauntlet 1
gdanisban 1
genabackis 2
gesler 1
gets 1
gives 1
go 1
god 2
godhood 1
gods 1
goes 1
gral 1
gratitude 1
greyskinned 1
group 1
growing 1
guardian 1
had 1
hand 2
hands 5
harbour 1
hard 1
harried 1
has 14
have 2
havoc 1
he 5
headless 1
heads 1
heart 3
heboric 11
help 2
her 7
heroes 1
herself 2
high 2
highly 2
him 3
his 9
hissar 3
historian 1
holy 2
home 1
horrors 1
horsewarriors 1
house 1
however 1
huge 1
hundreds 1
icarium 4
identifies 1
immediately 1
immense 1
imperial 2
impossible 1
in 23
instead 1
intelligent 2
intend 1
intended 1
into 7
is 18
iskaral 1
island 6
it 8
itko 1
its 1
jade 2
joined 1
jutting 1
kalam 7
kan 1
keeping 1
kill 2
killed 1
known 1
kulp 3
laederon 1
landmass 1
large 1
largest 1
laseen 2
latter 1
leads 1
leagues 1
learn 1
learns 1
leaving 1
led 2
left 1
legs 1
leoman 2
liberated 1
lie 1
likely 1
literal 1
lone 1
longheld 1
lost 1
lostara 3
loyalists 1
mad 1
made 1
mage 3
magical 1
magicdeadening 1
magicresisting 1
malaz 1
malazan 9
man 1
manages 1
manned 1
manner 1
many 1
mappo 4
march 2
marines 1
massive 1
material 1
materializes 1
meanwhile 1
meets 1
melee 1
messremb 1
mineral 1
mines 2
mining 1
minion 1
mission 1
more 3
mortal 3
must 1
named 4
native 1
near 2
nearby 2
nearing 1
nearly 1
nobility 1
nok 1
north 1
northeastern 1
not 3
now 1
number 1
occupiers 1
oddly 1
odhan 1
of 65
off 2
offering 1
offers 1
official 1
on 12
once 3
one 2
only 1
opening 1
or 2
ordered 1
orders 2
originated 1
otataral 6
other 1
out 5
over 2
overthrow 1
own 2
pair 1
panpotsun 2
paran 2
path 2
plan 1
plans 2
plateau 1
pormqual 1
potentially 1
pounce 1
power 2
powerful 1
prearranged 1
prepares 1
preparing 3
press 1
priest 2
process 1
prophecy 1
protection 1
pulled 1
pursue 1
pursued 1
pust 5
put 1
quon 1
random 1
raraku 5
reach 2
reaches 1
realize 1
realm 2
rebellion 5
rebellious 1
recalling 1
recent 1
recuperate 1
red 3
reeling 1
refused 1
region 1
reinforcements 1
reminiscent 1
rescue 1
rescued 1
resident 1
reunite 1
rides 2
rip 1
ritual 1
rule 1
run 1
running 1
safety 1
sand 1
sapper 1
saved 1
sea 3
seeing 1
seen 1
seer 1
senior 1
sent 1
separated 1
servant 1
sets 1
seven 5
several 2
severed 1
shadow 1
shadowaspected 1
shaik 6
shapeshifters 1
she 4
shelter 1
ship 2
sight 1
simultaneously 1
sister 2
size 1
skilled 1
skull 1
skullcup 1
slave 1
slavery 1
slaves 1
slips 1
soletaken 4
solid 1
soon 2
specifically 1
spells 1
spiritual 1
split 1
squad 1
start 1
statue 3
still 2
stormy 1
strength 1
strong 1
subcontinent 1
suggesting 1
support 1
survive 2
take 2
taking 1
tali 1
tall 1
tavore 1
tell 1
temple 2
tene 1
terror 1
that 3
the 119
their 7
them 10
themselves 1
then 3
there 3
they 11
thief 1
this 1
those 2
thousands 1
three 1
through 2
times 1
tiste 3
to 52
toblakai 2
torn 1
touches 1
towards 1
town 1
trailed 1
transport 1
transported 1
travelers 1
trell 1
tremorlor 2
tribes 1
true 1
trusted 1
truth 1
two 2
unaware 1
unbeknown 1
undertake 1
underway 1
unknown 1
unleashed 1
unta 1
unusual 1
uprising 1
use 1
veer 1
wait 1
wall 1
warren 3
warrior 2
warriors 1
wastelands 1
wastes 1
waters 1
way 3
west 1
westwards 1
what 1
when 1
which 4
while 1
whilst 1
whirlwind 5
whistle 1
who 7
whom 1
wickan 1
wickans 1
will 2
wipe 1
with 1
withdraw 1
withdrawal 1
witness 1
won 1
world 3
wreaks 1
yil 3
young 1
youngest 1
