969617
/m/03vcwz
/m/03vcwz
Georg Büchner

a 6
act 1
after 1
agreeing 1
ambiguous 1
an 1
and 5
apocalyptic 1
as 3
attentions 1
bchner 1
beats 1
bedroom 1
been 1
begins 1
blessed 1
blood 1
born 1
breaking 1
but 1
by 6
captain 1
child 1
church 1
claimed 1
clean 1
conception 1
conducted 1
confronts 1
death 1
deep 1
disposing 1
doctor 2
down 1
drowning 1
drum 2
dumped 1
earns 1
eat 1
ends 1
experience 1
experiments 2
extra 1
extrapolate 1
family 1
finally 1
for 2
fragment 1
franz 1
german 1
growing 1
grows 1
handsome 1
have 1
having 1
he 2
health 1
her 2
him 3
himself 1
his 3
humiliates 1
in 6
is 5
it 2
jealous 1
jobs 1
knife 2
left 1
living 1
lowly 1
major 2
marie 4
meanwhile 1
medical 1
menial 1
mental 1
money 1
most 1
mother 1
must 1
not 1
nothing 1
obvious 1
of 8
one 1
original 1
out 1
part 2
peas 1
performing 1
place 1
pond 2
provincial 1
renditions 1
scene 1
series 1
sleeps 1
soldier 1
some 1
stabs 1
stationed 1
suspicions 1
take 1
taking 1
tells 1
that 2
the 12
these 1
third 1
this 1
tired 1
to 6
town 1
trial 1
trying 1
turns 1
up 1
visions 1
was 1
waters 1
wedlock 1
which 1
while 2
who 2
with 5
woyzeck 8
