21342874
/m/05f88_9
/m/05f88_9
Andrey Livadny

1500year 1
200 1
23rd 1
3 2
30 1
302 1
3870 1
a 40
abandoned 1
abilities 2
ability 3
able 6
aboard 2
about 2
accepted 1
access 1
across 1
activated 2
actually 2
aerospace 1
affects 1
after 10
against 1
agents 1
aging 1
ago 3
agree 2
agrees 2
ai 2
ailment 1
air 5
alien 1
alive 1
all 7
alliance 1
allows 1
along 3
also 3
although 2
ambush 1
an 12
ancestors 1
ancient 5
and 68
another 6
antiquated 1
antique 1
any 4
anywhere 1
apologize 1
appeared 1
archives 1
are 12
argument 1
arrival 1
arrivals 1
arrived 2
arrives 2
arriving 2
as 11
asks 4
assailants 1
assassin 1
assassinate 1
assault 2
assaults 1
assuming 2
at 6
attack 2
attacked 1
attacking 2
attempt 3
attempts 1
aware 2
away 2
back 2
basic 1
batteries 1
be 5
become 2
been 3
before 6
begins 1
behind 2
being 1
believe 1
believing 1
best 1
betrayed 1
between 2
biolab 1
biosphere 1
bioweapons 1
birth 1
body 2
born 2
both 1
boundary 5
brain 2
brains 1
breathe 2
breathing 2
brought 2
buildings 1
built 2
buried 1
but 3
by 18
called 1
calling 1
calls 1
calms 1
came 2
can 4
capable 2
captain 2
capture 1
captured 1
car 1
castes 1
caught 1
causes 1
caution 1
century 1
certain 1
changes 1
charge 1
charts 1
chief 1
child 1
chosen 7
chunk 1
city 18
civilians 2
clan 1
clans 1
claw 1
clothes 1
clothing 1
cluster 1
colonists 4
colony 5
common 1
complex 1
concerned 1
conduit 3
conduits 1
confederacy 1
confederate 4
confirms 1
conquering 1
consists 1
contacts 1
convince 2
convoy 2
copies 1
correct 1
cost 1
council 1
crack 1
cracking 1
craft 1
crash 1
crashes 1
create 1
created 1
creation 1
creatures 3
cues 1
damage 1
damaged 1
danger 2
data 3
day 2
days 2
death 1
decides 4
declares 1
defenders 6
defending 1
defenses 2
degrees 1
demands 1
departing 1
derek 1
descended 1
descent 2
description 1
desert 2
despite 3
destroy 1
destroyed 1
destroying 1
destruction 1
determine 2
determines 1
develop 1
did 2
die 1
digging 1
disabled 1
disappeared 1
discovers 1
distinct 1
disturbing 1
does 3
doing 1
doom 6
down 4
dozen 2
dozens 1
drain 1
droid 5
droids 5
due 2
during 2
dying 1
