3056014
/m/08nl1p
/m/08nl1p
Darren Shan
2000-11-06
25 1
a 23
abattoir 1
about 6
accompany 1
according 1
across 1
actually 1
after 2
afterwards 1
all 1
almost 1
alone 1
also 1
an 1
and 27
are 1
as 3
at 1
attempts 1
away 1
back 1
badly 1
basement 1
be 3
been 1
before 1
begin 2
binds 1
blood 1
bodies 1
boy 1
buhbuhbuh 1
but 1
by 4
can 1
caught 1
christmas 4
cirque 1
city 1
clan 1
cluhcluhclever 1
come 2
comes 1
comfort 1
crepsley 17
cries 1
darren 26
date 1
dating 1
day 3
debbie 11
december 1
decide 1
decides 1
declares 1
decorates 1
demanding 1
discover 2
discovers 1
disguise 1
disturbed 1
does 1
down 1
drained 1
dying 1
each 1
enjoy 1
eve 1
evra 15
excursions 1
face 1
facts 1
fear 1
finally 1
for 9
forehead 1
found 1
friend 1
from 1
full 1
gavner 5
general 2
get 1
gets 2
gift 1
girl 1
gives 2
go 2
goat 1
goes 3
going 1
grest 1
halfvampire 1
has 3
have 1
he 8
help 1
her 2
highly 1
him 9
his 3
hmmm 1
home 1
hotel 1
house 1
hug 1
human 1
if 1
impressed 1
in 4
incidents 1
inform 1
intending 1
into 1
introduces 1
invested 1
invited 1
is 7
it 2
keep 1
kidnap 1
kidnapped 1
kill 3
killed 1
killing 1
kiss 1
kisses 1
later 1
laws 1
leader 1
leave 3
lets 1
life 1
like 1
looking 1
loss 1
mad 1
madam 1
made 1
making 1
man 2
managing 1
may 1
meeting 1
merry 1
might 1
mind 1
mischief 1
mr 17
much 1
murlough 10
must 1
mysterious 1
named 1
news 1
night 3
octa 1
of 8
old 1
on 4
one 1
or 2
other 1
out 4
over 2
piece 1
place 1
plan 1
plans 1
pointed 1
pretty 1
prince 1
promised 1
purl 4
reach 1
reaches 1
realizes 1
refusal 1
refuses 1
regarding 2
release 1
report 1
returning 1
revealing 1
room 1
runs 1
sam 1
save 1
saying 1
secrecy 2
see 1
seek 1
sell 1
sewers 1
she 1
shocked 1
slays 1
slip 1
sneers 1
so 1
some 2
spots 1
square 1
staying 1
stop 1
story 1
suddenly 1
suggests 1
takes 1
talk 2
telling 1
tells 2
that 10
the 19
themselves 1
then 1
these 1
they 5
thinks 1
this 1
to 29
track 1
trade 1
tree 1
tricked 1
tries 1
two 2
vacation 1
vampaneze 4
vampire 6
venture 1
very 1
walks 1
wants 1
was 4
were 2
when 6
where 4
while 2
whispers 1
who 2
wishes 1
with 6
work 1
would 1
