461604
/m/02cccm
/m/02cccm
John Steinbeck
1933
{"/m/05hgj": "Novel"}
a 8
accident 1
activities 1
after 2
alcoholic 1
an 2
and 11
animal 1
arm 1
as 3
asks 1
at 2
bears 1
becomes 1
been 1
begin 1
begins 1
benjy 1
blood 1
breaking 1
breaks 1
brother 3
brothers 1
buckle 1
burton 3
but 2
by 2
cattle 1
child 1
christian 1
climb 1
climbs 1
concern 1
concerned 1
convinces 1
cut 1
day 1
decide 1
decides 3
devout 1
die 1
discover 1
discovered 1
down 1
drive 1
drought 2
dry 2
dying 1
elizabeth 4
enlist 1
everything 1
fall 1
falls 1
farm 5
feels 1
fiesta 1
find 3
flees 1
following 1
for 4
frightens 1
from 3
girdled 1
glade 1
green 1
guilt 1
had 2
has 1
he 5
help 1
her 1
higher 1
him 3
himself 1
his 6
horse 1
human 1
in 4
increasingly 1
instantly 1
into 1
is 2
it 2
joaquin 1
joseph 12
juanito 4
kill 2
killed 1
last 1
late 1
later 1
leave 1
leaves 1
lives 1
marries 1
meet 1
minute 1
monterey 1
moss 1
mossy 1
mysterious 1
named 1
neck 1
new 1
night 2
of 3
off 1
on 2
once 1
one 1
out 1
pagan 1
pass 1
passed 1
pastures 1
power 1
pray 1
priest 2
promising 1
prospers 1
rain 2
rainless 1
receives 1
refuses 2
remaining 1
return 1
returning 1
returns 2
revenge 1
rock 5
run 1
sacred 1
sacrifices 1
saddle 2
salvation 1
san 1
saying 1
schoolteacher 1
seducing 1
seeing 1
sets 1
severe 1
she 1
site 1
slits 1
some 1
soon 1
souls 1
stabbed 1
stay 2
stream 2
talks 1
that 4
the 34
then 4
thereafter 1
they 2
thomas 1
time 1
to 22
top 1
town 1
tree 2
trying 1
up 1
upon 1
visit 2
wants 1
watches 1
watching 1
wedding 1
when 4
wife 1
winter 1
with 2
wrists 1
year 1
youngest 1
