8536433
/m/02770tc
/m/02770tc
Anne McCaffrey
1997-01-28
a 2
about 1
after 1
all 1
also 1
an 1
and 4
answers 1
any 1
are 1
artist 1
as 1
author 1
background 1
bitra 1
book 1
books 1
brings 1
caring 1
chalkin 1
characters 1
clisser 1
college 1
colony 1
computers 1
conflict 1
created 1
debera 1
dolphins 1
dragon 1
dragons 1
due 1
earlier 2
established 1
events 1
explores 1
exposes 1
feudal 1
following 1
footsteps 1
for 1
fort 1
green 2
happened 2
hardships 1
head 1
history 1
hold 1
holder 1
iantine 1
in 5
incremental 1
inevitable 1
is 2
it 2
journeyman 1
kvin 1
later 1
less 1
lord 1
loss 1
main 1
male 1
more 2
newborn 1
novels 1
of 14
other 1
pass 1
pern 4
pernese 1
planet 1
process 1
progress 1
questions 1
ramifications 1
reappearing 1
returning 1
rider 1
riders 1
second 1
series 1
shown 2
shows 1
skies 1
society 1
star 1
stones 1
such 1
technology 2
telgar 3
than 1
that 1
the 24
thread 3
threat 1
time 1
timeline 1
to 5
towards 1
weyrleader 1
weyrs 1
weyrwoman 1
what 2
who 1
zulaya 1
