5756414
/m/0f2zkt
/m/0f2zkt
Beverly Cleary
1975
a 6
about 3
add 1
after 1
alone 1
an 2
and 13
angrier 1
angry 1
apologize 1
are 1
as 2
at 2
away 1
bad 1
be 3
became 1
bedroom 1
beezus 2
big 2
both 1
boys 2
brave 2
bravery 1
brick 2
bricks 1
but 1
called 1
can 1
cant 3
carries 1
chapter 1
chooses 1
class 3
comes 1
coming 1
compliments 1
considering 1
copied 1
copying 1
crushed 1
cut 1
day 2
deal 1
describes 1
destroys 1
discovers 1
doesnt 2
dog 2
dust 1
embarrassed 1
end 1
everyone 2
extra 1
factory 2
family 1
feel 1
final 1
finally 1
first 4
flag 1
for 5
forced 1
friend 1
frightening 1
front 1
game 1
gets 3
gives 1
go 1
going 1
good 1
grade 2
griggs 3
grow 1
grownup 1
happen 1
hard 2
has 1
her 22
hero 1
him 1
hole 2
house 2
how 2
howie 1
in 7
ingenuity 1
instead 1
interesting 1
into 1
is 14
isnt 2
it 5
job 1
just 1
kemp 1
kindergarten 1
later 1
lead 1
learning 1
lecture 1
like 1
limps 1
longs 1
makes 1
making 1
more 1
morning 2
most 1
mother 1
mrs 3
name 1
nemesis 1
new 1
night 1
now 1
of 5
off 3
often 1
old 1
older 1
on 2
once 1
one 3
only 1
out 2
owl 3
owls 1
paperbag 1
parents 1
part 2
parttime 1
picks 1
pounding 1
powerful 1
prepared 1
ramona 15
read 1
realize 1
returned 1
room 2
salute 1
scary 1
school 4
secretary 1
see 1
seem 1
sees 2
selfcontrol 1
she 12
shoe 4
shows 1
since 1
sister 1
situation 1
sleep 1
slightly 1
so 6
some 2
something 1
special 1
spent 1
start 1
stay 1
sticks 1
summer 2
sure 1
susan 4
take 1
takes 1
teacher 1
tease 1
tell 1
than 1
that 9
the 16
their 1
them 2
throws 1
to 20
trouble 1
trying 1
turns 2
up 3
uses 1
using 1
very 1
wait 1
way 1
wearing 1
when 4
whole 1
why 1
with 2
workmen 1
works 1
youngest 1
