6747619
/m/0glxg8
/m/0glxg8
Troy Denning
2007-08-28
a 9
achieve 1
adult 1
against 1
all 3
alliance 1
also 2
ambitions 1
an 1
anakin 1
and 15
anyone 2
anything 1
apparent 1
appears 1
apprentice 1
arrest 2
as 4
assassination 1
at 1
atrocities 1
attempt 1
authorities 1
be 1
becomes 2
been 1
before 1
begins 1
being 1
ben 4
book 1
both 1
bring 1
brother 1
but 1
by 5
caedus 7
cal 1
centres 1
cherish 1
chief 1
children 1
civilian 1
commit 1
conflict 1
continues 1
control 2
corellian 1
coruscant 1
coup 1
cousin 1
covers 1
danger 2
dark 2
darth 2
daughter 1
dead 1
deposed 1
depths 1
descends 1
deterioration 1
dtat 1
duel 1
end 1
ends 1
even 1
ever 1
evolution 1
example 1
exception 1
executed 1
execution 1
existence 1
exposed 2
facility 1
fails 1
falling 1
family 2
farther 1
fear 1
fleet 1
force 1
forests 1
friends 1
from 2
furious 1
further 1
galactic 1
galaxy 2
gives 1
goals 1
government 1
group 1
han 1
handing 1
has 2
have 1
he 9
heavy 1
her 4
hidden 1
him 3
his 12
imminent 1
in 7
include 1
including 1
increasingly 2
inferno 1
interrupted 1
into 4
is 4
it 1
jacen 2
jaina 1
jedi 3
ka 2
kashyyyk 1
killing 1
korriban 1
last 1
leaving 1
leia 1
lightsaber 1
lord 1
losses 1
lover 3
luke 3
make 1
manipulates 2
manipulating 1
many 1
marked 1
memory 1
motivate 1
murders 1
nearly 2
no 1
not 1
novel 3
now 1
of 20
omas 1
on 3
one 2
only 1
order 3
orders 2
ossus 1
others 1
over 3
own 1
parents 1
part 1
personal 1
plan 1
point 1
powers 1
praxeum 1
previous 1
prison 1
prompting 1
quest 1
ravages 1
realizes 1
recovered 1
refrain 1
relationships 1
represents 1
returning 1
reveals 2
sacrifice 1
sacrificing 1
second 1
secret 1
secure 1
seize 1
send 1
sends 1
she 1
ship 1
side 2
sides 1
sister 1
sith 5
skywalker 1
smaller 1
sole 1
solo 3
sparing 1
spies 1
state 1
subordinates 1
subplot 1
subsequently 1
such 1
sunk 1
support 1
tahiri 1
taking 1
targeting 1
tenel 2
termination 1
that 2
the 30
their 1
then 1
there 1
this 1
thought 1
threatened 1
through 1
to 23
tortures 1
troops 1
turned 1
turning 1
twin 1
ultimately 1
veila 1
vessel 1
warn 1
warrant 1
was 2
were 1
when 2
which 3
who 1
whom 1
willing 3
with 1
withdraws 1
without 1
ziost 1
