16256136
/m/03wf5zr
/m/03wf5zr
Walter Mosley

165 1
a 6
abilities 1
acquire 1
actualization 1
after 1
all 2
an 2
and 11
are 2
as 4
at 2
battle 2
beam 2
because 1
between 1
blue 1
blues 5
by 2
california 4
calling 1
came 2
capabilities 1
caused 1
character 1
cities 1
come 1
communication 1
confront 1
consensus 1
death 1
declare 1
defined 1
demon 1
destroy 1
die 1
discover 1
discovery 1
down 1
emerges 1
ending 1
enemy 1
epic 1
evil 3
exceed 1
extraordinary 1
extraterrestrial 1
find 1
finds 1
finish 1
for 2
force 1
forest 1
from 3
full 1
given 1
go 1
going 1
good 1
gray 4
had 1
has 1
hiding 1
horace 1
human 1
humankind 1
improved 1
in 9
inside 1
is 3
kill 1
lafontaine 1
later 1
life 1
light 4
live 1
lives 1
look 1
mad 1
man 3
manl 1
moment 1
mysterious 1
nemesis 1
new 1
normal 2
northern 3
novel 4
of 9
on 1
once 1
or 1
our 1
out 1
outside 1
overlooked 1
people 2
place 1
power 2
powers 3
purpose 1
referred 1
refuge 1
represents 1
reside 1
revived 1
segregated 1
sent 1
sets 1
small 1
society 1
soon 4
sources 1
space 1
special 1
stage 1
strengths 1
struck 1
super 1
take 1
takes 1
that 3
the 24
their 5
they 7
this 5
to 7
together 1
touched 2
try 1
understandings 1
unique 1
universe 1
use 1
war 1
were 3
where 1
which 3
who 1
whomever 1
with 3
