3766159
/m/09zvt4
/m/09zvt4
Janet Evanovich
1999-07-16
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 2
again 1
agrees 1
and 2
are 1
around 1
as 1
at 1
back 1
benito 1
body 1
book 1
bookie 1
briggs 1
bring 1
business 2
cant 1
case 1
certified 1
company 1
could 1
disappearance 1
do 1
dollars 1
ends 1
enough 1
first 1
following 1
for 3
fred 2
from 1
fta 1
goes 1
have 1
head 1
help 1
her 4
him 1
his 1
house 1
in 4
irritate 1
is 5
job 1
latest 1
look 1
make 1
meet 1
midget 1
missing 1
more 1
nasty 1
neck 1
of 1
once 1
one 1
over 1
parts 1
pictures 1
plum 1
proceeding 1
questions 1
ramirez 1
randy 1
ranger 1
realizes 1
released 1
she 2
slow 1
so 1
some 1
something 1
soon 1
stalker 1
stephanie 8
takes 1
that 1
the 2
there 1
time 1
to 5
two 1
unanswered 1
uncle 3
up 1
usual 1
when 1
why 3
with 2
