2903698
/m/08bhlr
/m/08bhlr
Peter Gent
1983
a 6
abuse 1
along 1
also 1
an 1
and 7
another 2
are 1
as 1
aside 1
at 1
awarded 1
be 1
becomes 1
betrayed 1
betrays 1
botched 1
bring 1
but 3
cantmiss 1
celebrate 1
champions 2
chronic 1
coach 1
college 2
commits 1
con 1
control 1
corruption 1
daring 1
devastating 1
down 1
draft 1
due 1
expansion 2
expected 1
fallen 1
family 1
five 1
fiveyear 1
for 2
franchise 1
game 1
general 1
get 1
getting 1
got 1
has 1
have 1
he 3
helm 1
him 5
his 4
however 1
illegal 1
in 2
injury 1
into 1
is 6
it 2
key 1
knee 1
largely 1
later 1
league 3
legends 1
life 1
little 1
love 1
make 1
man 1
manager 1
mdash 1
means 1
mentoring 1
most 1
mother 1
move 1
murders 1
north 1
number 1
of 3
old 1
on 1
one 2
pistols 5
plan 1
plays 1
prospect 1
quarterback 1
ready 1
refuses 1
rusk 8
save 1
sees 1
son 1
star 1
steroid 1
suffers 1
suicide 1
surgery 1
take 1
taylor 4
team 1
teammate 2
texas 4
the 16
they 1
through 1
time 2
to 8
tossed 1
turn 1
ultimately 2
until 1
various 1
victim 2
way 1
who 1
with 2
woman 1
world 1
years 1
