25919213
/m/0b6nb3q
/m/0b6nb3q
Timothy Brook
2008-03-15
105 1
a 5
abolition 1
about 1
after 1
an 1
and 4
any 1
argue 2
as 3
authors 2
be 1
beyond 1
but 1
by 2
capital 1
caused 1
century 1
china 1
convict 1
could 1
cuts 1
death 3
denying 2
dynasty 1
early 1
feel 1
final 1
flesh 1
for 1
form 1
from 1
hope 1
imperial 1
in 3
integrity 1
investigates 1
involved 1
its 1
killed 1
lateimperial 1
life 1
lingchi 2
meted 1
mid 1
more 1
of 5
offence 1
opium 1
or 1
out 1
physical 1
point 1
practised 1
process 1
punishment 3
repeatedly 1
sedated 1
shame 1
simple 1
slicing 2
slow 1
somatic 1
striking 1
teacher 1
tenth 1
than 1
that 1
the 12
them 2
this 1
thousand 1
time 1
to 1
torture 1
until 1
use 1
victim 2
was 2
which 1
with 1
