10947789
/m/02qvwbs
/m/02qvwbs
Christine Feehan

a 4
an 1
and 2
another 1
assassin 1
bayous 1
bent 1
betrayals 1
between 1
bomb 1
but 1
by 2
can 1
cant 1
deadly 1
destructive 1
elusive 1
experiments 1
flame 1
flamehaired 1
fontenot 1
forces 1
game 1
gator 3
haunted 1
horrific 1
hunted 1
ignites 1
in 2
iris 2
is 1
it 1
job 1
johnson 1
just 1
new 1
night 1
now 1
of 5
on 1
one 1
or 1
orleans 1
paranormal 1
passion 1
people 1
playing 1
powers 1
reel 1
refuse 1
response 1
revenge 1
same 1
save 1
seductive 1
shadowy 1
she 1
soon 1
special 1
squad 1
sultry 1
that 2
the 5
them 2
time 1
to 2
trust 1
two 1
unimaginable 1
unleashed 1
urgent 1
victim 1
violent 1
walking 1
warped 1
weapon 1
