6989099
/m/0g_4mq
/m/0g_4mq
Antonella Gambotto-Burke
1998-06-29
18 1
34angel34 2
34beast34 1
34belva34 1
34the 1
a 6
adolescence 1
adult 1
aldo 1
an 5
anagram 1
and 12
angel 2
angelica 4
antonella 1
apparently 1
aptly 1
astrophysicist 1
at 2
attending 1
australian 1
austrian 1
back 1
background 1
beautiful 1
belva 1
bestiary 1
bestiary34 1
birth 1
blissful 1
blurb 1
bogan 1
book 3
born 1
botticelli 1
brine 1
brother 1
by 1
caroline 1
characters 1
chicago 1
childhood 2
come 1
cruelty 1
death 1
despise 1
destined 1
destroyed 1
details 3
directly 1
discovery 1
divided 2
drifts 1
each 1
ensuing 1
extravagance 1
fall 1
father 2
father3s 1
finally 1
finds 1
first 1
flatmate 1
for 1
form 1
from 3
gabriel 1
gambotto 1
gifted 1
give 1
glamour 1
god 1
grief 1
has 1
heart 2
her 10
his 1
hope 1
hostile 1
husband 1
in 7
into 2
is 8
italian 2
italianborn 1
italy 1
its 1
lagen 1
later 1
london 1
love 2
lycanthropic 1
main 1
means 1
mother 2
mother3s 1
move 1
murder 1
named 2
narrated 1
night 2
novel 2
of 10
one 1
only 1
orion 1
party 1
person 1
power 1
publishing 1
pure 1
reaction 1
refers 1
relationship 2
search 1
second 1
secretly 1
see 1
she 2
sky 1
sphere 1
stars 2
still 1
story 1
student 1
surname 1
sydney 1
ten 1
the 20
their 1
theme 1
three 3
through 1
title 1
to 8
trip 1
troubled 1
truly 1
two 1
until 1
vile 1
volume 2
volumes 2
wealthy 1
weeklong 1
weight 1
which 4
who 1
with 2
woman 1
world 1
years 1
