10953909
/m/02qw2v8
/m/02qw2v8
Vernellia Randall

a 6
abuses 1
access 1
accusation 1
acknowledges 1
action 1
addition 1
affirmation 1
african 1
also 1
american 1
americans 2
and 9
are 1
as 1
authenticity 1
barriers 1
based 1
begins 1
birth 1
blacks 1
book 2
but 1
by 2
call 1
care 7
cell 1
compared 1
concludes 1
continue 1
contribute 1
crow 1
death 1
deficit 1
direct 1
discrimination 1
discriminations 1
disease 1
enacted 1
engage 1
entice 1
entrenchment 1
european 1
excuses 1
expectancy 1
experimentation 1
facilitators 1
for 1
from 2
gave 1
government 1
has 1
health 9
her 3
high 3
history 1
homes 1
hospitals 1
human 1
impact 1
in 4
inadvertent 1
inequality 1
infant 1
initiative 1
input 1
insists 2
institutional 1
intentional 1
into 1
is 3
its 1
itself 1
jim 1
justify 1
lack 3
large 1
laws 1
led 1
legal 2
life 1
low 1
managed 1
medical 1
minority 2
mistrust 1
mortality 1
negatively 1
not 1
nursing 1
of 14
on 1
organizations 1
other 1
out 1
paranoia 1
physicians 1
planned 1
planninginvoluntary 1
points 1
present 1
professionals 2
program 1
protection 1
provided 1
providers 1
racial 2
racism 2
randall 2
rates 3
reparations 1
result 1
rid 1
rights 1
screening 1
she 4
short 1
shortage 1
sickle 1
simply 1
slave 1
slavery 2
states 1
statistics 1
status 1
sterilization 1
system 5
that 5
the 22
these 1
they 1
this 2
thus 1
time 3
to 9
unless 1
violations 1
was 1
weight 1
well 1
will 1
with 2
