24940694
/m/09g7dyx
/m/09g7dyx


{"/m/02n4kr": "Mystery"}
a 11
about 3
accident 1
actress 1
after 1
afterworld 1
against 1
age 1
aging 1
ago 2
alive 1
although 1
an 1
and 12
are 1
arthritis 1
as 3
at 1
auditions 1
away 1
back 2
be 1
because 1
become 2
been 1
believes 1
bird 1
black 1
building 1
but 2
called 1
car 1
child 1
commenting 1
compared 1
convened 1
couple 2
crooked 1
curtains 1
dad 1
darkened 1
deformed 1
described 1
died 1
differences 1
done 1
drawn 1
everybody 1
father 2
features 1
first 1
fond 1
for 4
fraud 1
from 1
generally 1
goes 1
gone 1
had 3
hand 2
has 5
have 2
having 1
her 7
his 1
hopes 1
husband 1
immigration 1
in 5
into 1
involving 1
is 3
keep 1
kind 1
knew 1
life 2
live 1
livy 1
london 1
looks 1
lost 1
man 2
megan 3
middle 1
moved 2
much 1
murder 1
name 1
new 2
nextdoor 2
nickname 1
no 1
not 1
now 1
of 7
older 1
olive 5
on 4
one 3
or 1
other 2
out 3
over 1
pale 1
particularly 1
party 2
photogenic 1
photographs 1
possibly 2
prior 1
prove 1
puberty 1
purpose 1
quite 2
reaching 1
remaining 1
remains 1
replaced 1
replacement 1
rest 1
result 1
room 2
said 1
same 1
seance 3
sets 1
she 3
since 1
single 1
small 1
some 2
something 1
spoken 1
stooped 1
stopped 1
strange 1
striking 1
suicide 1
summer 1
suspicious 1
that 5
the 25
themselves 1
there 2
they 3
threatening 1
threw 1
to 10
tryouts 1
unusually 1
used 1
voice 1
was 6
waxen 1
were 1
what 1
when 2
white 1
wife 2
with 3
woman 3
worries 1
years 3
young 2
