5620868
/m/0dwq_5
/m/0dwq_5
Ron Suskind

{"/m/05h83": "Non-fiction"}
11 3
11th 1
2001 2
2002 1
2003 2
2004 1
34th 1
45 2
a 29
abc 1
able 1
about 5
abu 4
according 3
acquire 1
acting 1
added 1
adding 1
advanced 1
advances 1
adviser 1
advocated 1
after 2
against 1
agency 1
agents 1
aggressive 1
agreed 1
al 7
alarm 1
alerts 1
all 2
alleged 1
alqaeda 1
also 8
alzawahiri 4
an 7
analysts 2
and 22
anonymous 1
apparently 1
are 4
as 11
asked 1
assertion 1
associated 1
at 1
attack 9
attributed 1
authorities 1
ayman 2
be 7
because 3
been 6
before 1
believes 1
between 1
big 1
bin 3
blueprints 1
book 7
briefed 1
briefer 1
briefing 1
bush 5
but 5
by 2
called 5
can 2
cant 1
capture 2
captured 1
car 1
carried 2
carrying 1
cause 2
cbs 1
cell 2
cells 1
charles 1
chemical 1
chemicals 1
cheney 4
cia 6
city 2
claim 1
claims 1
clarke 4
cnn 2
collected 1
coming 1
command 1
community 1
compete 1
concede 1
condoleezza 2
confirmed 1
confront 1
control 1
controversial 1
corroborated 1
counterterrorism 4
crack 1
crazy 1
created 1
critical 1
crude 1
cyanide 6
daily 3
date 1
days 2
deadly 2
deal 1
death 1
decline 1
defined 1
deny 1
described 3
describing 1
design 1
destruction 2
device 3
dick 1
did 1
difficult 3
direct 2
director 2
disagree 1
disagreed 1
discovering 1
disinformation 1
distinction 1
do 2
doctrine 2
does 1
done 1
due 1
during 1
endorsement 1
engaged 1
enough 3
et 1
even 1
event 1
every 1
everybody 1
exact 1
expertise 1
fact 1
familiar 1
fantasies 1
fantasize 1
far 1
fbi 1
fed 1
feds 1
few 1
fight 1
fighting 1
figure 2
foot 1
for 3
foreign 1
former 5
fox 1
frankly 1
gas 1
gasdispersal 1
gases 1
gastheyd 1
george 1
get 1
given 2
globally 1
government 1
great 1
group 1
groups 1
guys 1
had 7
has 4
have 7
he 9
help 1
herald 1
highimpact 1
him 1
his 1
homemade 1
house 1
how 2
however 1
hundreds 1
i 1
idea 1
ideas 1
if 3
image 1
imagine 1
impact 1
important 1
in 22
inaccuracy 1
information 5
insane 1
inside 2
insignificant 1
intelligence 5
interrogation 1
into 2
invisibles 1
involve 1
is 10
isolated 1
issued 1
it 10
john 2
just 2
kerry 1
key 1
killed 1
kind 1
knew 2
know 1
knowledge 1
labeled 1
lack 1
laden 3
leaders 1
learned 2
like 1
likely 1
local 1
lot 1
lowprobability 1
lucid 1
lucky 1
made 2
major 1
makes 1
many 1
march 1
mass 1
mclaughlin 1
mean 1
media 1
mentions 1
message 1
might 1
millimeter 1
mixed 1
monitored 1
most 1
mr 1
mujahideen 1
named 1
never 1
new 8
news 5
nixed 1
no 2
not 5
notable 1
notables 1
notion 1
november 1
nuclear 2
observed 1
of 28
off 3
offering 1
official 8
officials 3
on 3
one 6
operating 1
operations 1
operative 1
or 3
osama 2
osamas 1
other 2
out 3
over 1
pakistan 1
pakistani 1
panicky 1
particularly 1
passed 1
percent 1
pistolnone 1
plan 1
planner 1
planning 1
plot 11
plotting 1
poisoning 1
policies 1
policy 1
precise 1
president 1
press 1
prior 1
proposed 1
provided 1
put 1
qaeda 6
question 1
ready 1
reason 2
recruit 1
reelected 1
relatively 1
release 1
releases 1
releasing 1
remain 1
report 3
reported 1
reports 1
responding 1
response 1
rice 2
richard 1
said 5
schumer 1
scientist 1
scrapped 1
security 1
senator 1
senior 2
sent 1
september 1
serious 1
seriously 1
sexy 1
signaled 1
simple 1
simply 1
skeptical 2
smart 1
soldiers 1
some 1
something 1
soon 1
sources 2
specific 1
specificity 1
speculate 1
sprayer 1
square 1
state 1
stated 2
states 6
stating 2
station 2
still 1
street 1
subway 2
supply 1
supposed 1
surveillance 1
suskind 7
suspect 1
taken 1
talk 1
team 1
tenet 1
terrorism 2
terrorist 3
terrorists 3
that 32
the 89
thencia 1
thennational 1
theory 1
there 3
therefore 2
these 1
they 9
thing 1
this 5
those 2
thought 1
threat 4
threats 1
three 1
through 2
thwarted 1
time 1
times 3
timing 1
to 28
together 2
told 11
too 1
top 2
totally 1
tough 1
true 1
tunnels 1
two 3
type 1
under 1
unimportant 1
united 6
unnamed 2
unreliable 1
up 1
us 6
use 1
usually 1
veteran 1
vice 1
video 1
view 2
want 1
wanted 1
wary 1
was 23
washington 1
wasnt 3
water 1
weapon 5
weaponizethey 1
weapons 1
were 5
what 1
whenever 1
whether 4
which 1
while 2
white 1
who 8
whom 1
wished 1
with 6
within 1
word 1
works 1
worries 1
would 10
woven 1
wrong 1
wrote 1
years 1
yielded 1
york 7
you 3
zawahiri 1
zawahri 1
zubaydah 7
