2514671
/m/07k5_4
/m/07k5_4
Susan Kay

{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
12 1
15 1
1831 1
1871 1
a 50
abandon 1
abilities 3
able 1
about 3
above 1
abuse 1
acceptance 1
accepted 1
access 1
accident 1
act 1
activities 1
addict 1
addition 1
adoption 1
affairs 3
affections 1
after 9
again 1
against 1
age 2
agitated 1
agree 1
agrees 2
aid 1
allowing 2
almost 1
also 3
amends 1
amorality 1
amusement 1
an 12
and 83
answer 1
anything 2
appearance 1
apprentice 1
approaches 1
architect 1
architecture 1
are 4
around 2
arranges 1
arrested 1
artificial 1
as 17
asia 1
aspects 1
assassin 1
assumed 1
assures 1
at 3
attack 2
attempt 3
attentions 2
awaken 1
aware 1
away 1
baby 2
back 2
backlashes 1
bad 1
bandages 1
baptises 1
based 1
be 4
bear 1
beautiful 3
beauty 1
because 3
become 3
becomes 6
becoming 1
been 2
before 3
befriended 1
begins 5
begs 1
begun 2
being 1
believes 4
believing 1
belongs 1
below 1
besides 1
bestows 1
between 2
bind 1
bird 2
birds 1
birth 1
birthday 1
blackmail 1
blow 1
book 1
born 2
boscherville 3
both 1
boy 2
brilliant 1
bring 3
build 1
building 2
buildings 1
builds 3
but 11
by 8
cage 1
camp 1
can 1
cannot 7
capable 1
carries 1
causes 1
cesarean 1
chagny 1
chamber 4
change 2
changes 1
chapters 1
charles 3
chaste 1
child 11
childbirth 1
childhood 2
christine 18
chronicled 1
claiming 1
clear 1
cloth 1
come 1
comes 1
command 1
commune 1
completely 1
composer 1
considering 1
construction 5
contest 1
continued 1
continues 1
corpse 1
corridors 1
court 2
create 1
created 3
cuckolding 1
cuckoo 2
daae 1
damage 1
danger 1
daroga 2
daughter 2
de 1
dead 1
deal 1
death 5
decides 2
deformed 2
demands 1
descends 1
design 3
designer 1
desire 1
desperately 1
despite 1
detained 1
developing 1
develops 1
device 1
devices 1
died 1
dies 4
differs 1
difficult 1
dinner 1
disappear 1
discovered 1
discovers 1
disguise 1
distorted 1
doctor 5
does 2
dog 1
douse 1
drags 1
draws 1
drive 1
driven 1
drowning 1
due 3
during 2
dying 1
early 1
eggs 1
eight 1
elderly 1
emerges 1
emotionally 1
employees 2
encourage 1
engineer 2
english 1
ensconced 1
enter 1
entertainment 1
entire 1
erik 46
escape 1
escaped 1
europe 2
evade 1
even 2
event 3
eventually 4
every 1
except 1
exhibit 1
exhibited 1
experiencing 1
exploiting 1
extreme 1
face 3
fact 1
fair 1
fairs 2
fall 1
family 3
far 1
fascinated 1
fascination 1
fate 1
fates 1
father 2
favorite 1
fear 2
fears 1
feelings 2
fetch 1
few 3
fifth 1
fill 2
finally 1
finished 1
flee 1
following 2
food 1
for 20
forced 6
forehead 1
forever 1
forth 1
four 1
frail 1
france 1
freak 1
free 2
freedoms 1
french 1
frenzy 1
frequently 2
friend 1
frightened 2
from 12
fullterm 1
fully 1
further 1
futility 1
gains 1
garner 1
garnier 2
genius 1
ghost 1
giovanni 3
giry 1
give 1
god 1
goes 2
goodbye 1
ground 1
guards 1
gunpowder 1
gypsies 1
gypsy 2
habit 1
had 4
hands 1
handsome 1
happily 1
happy 1
has 11
have 1
he 43
healing 1
health 1
heart 1
hell 1
help 1
helps 1
her 20
herbal 1
here 1
herself 4
him 25
himself 4
his 60
home 7
hoped 1
horrible 1
house 7
however 5
hurt 1
hurting 1
hydraulic 1
i 2
if 2
ill 1
illusion 2
illusions 1
imminent 1
implication 1
in 38
inadvertently 1
include 1
increasing 1
incredibly 1
indeed 1
influence 1
inhuman 1
initially 1
injured 1
insane 2
insistence 1
instead 1
institution 2
instructs 1
intention 1
interest 1
interfere 1
into 5
inventor 1
involved 4
is 48
it 12
its 4
javert 1
