6542282
/m/0g9lw2
/m/0g9lw2
Tim O'Brien
1973
{"/m/05h83": "Non-fiction", "/m/016chh": "Memoir"}
10 1
14th 1
16 1
167 1
171 1
18th 1
1st 1
46th 1
5th 1
a 11
about 3
accidental 1
acquaints 1
after 2
against 1
airlifted 1
alpha 4
americal 1
american 1
among 1
an 1
and 13
approximately 1
are 3
army 2
arrives 1
artillery 1
as 5
assigned 2
at 4
author 1
away 1
back 1
base 1
battalion 4
battery 1
before 1
beginning 1
being 2
book 1
both 1
briefly 1
brigade 1
by 3
callicles 1
captain 1
changed 1
characteristics 1
charlie 1
childhood 1
chronologically 1
chu 1
civilians 1
combatants 1
commanding 1
committed 1
company 6
continues 1
day 1
deals 1
debating 1
decide 1
depicted 1
describes 2
desertion 1
devices 1
disfigure 1
division 1
do 1
donts 1
during 1
echelon 1
encountered 2
encounters 1
ends 1
engage 1
erik 1
essential 1
events 1
executive 1
fellow 1
field 1
fighting 1
firebase 1
flown 1
fort 1
from 3
games 1
gator 1
government 1
grenade 1
grunts 1
he 5
his 5
home 3
idea 1
ii 1
in 9
indiscriminate 1
induction 1
infantry 2
infantrymen 1
into 2
introduced 1
investigation 1
is 5
itself 1
job 1
johansen 1
jungle 1
korean 1
lagoon 1
lai 2
landing 1
lastminute 1
learning 1
learns 1
led 1
lewis 1
life 1
long 1
maim 1
major 1
man 1
massacre 1
memoir 1
mine 1
mines 1
minnesota 1
moved 1
my 1
named 1
names 1
near 1
ngai 1
not 1
number 1
obrien 10
of 12
offered 1
officer 3
old 1
one 2
over 1
people 1
physical 1
place 2
playing 1
proceed 1
protecting 1
province 1
psychological 1
quang 1
rather 1
reader 4
rear 2
receiving 1
regiment 1
resistance 1
returned 1
rifle 1
same 1
scenarios 1
sent 1
shelling 1
similar 1
simultaneously 1
situation 1
small 1
soldier 1
some 1
spends 1
story 1
such 1
sweeping 1
taken 1
takes 2
taking 1
than 1
that 4
the 35
there 1
these 1
through 3
throwing 1
time 3
to 9
together 1
took 1
tour 1
town 1
training 2
two 1
typical 1
unfold 1
until 1
us 1
various 3
veterans 1
vietnam 2
village 1
war 2
warfare 1
was 4
washington 1
way 1
we 2
week 1
well 2
were 1
when 1
where 3
which 2
while 1
who 1
with 2
world 1
worthington 1
years 1
zone 1
