2456332
/m/07fczm
/m/07fczm
Ann Radcliffe
1797
1758 1
18th 1
a 19
abbess 1
about 1
according 1
accused 1
after 2
again 1
against 1
all 2
allow 1
also 2
altieri 1
an 5
and 34
ansaldo 1
apparition 1
appear 1
appeared 1
appears 1
approached 1
are 4
area 1
arrests 1
arrive 1
as 2
asked 1
asks 1
assassin 2
assassinate 1
assumes 1
at 2
attend 1
aunt 1
away 1
back 3
be 8
beatrice 2
beautiful 1
beauty 1
became 1
become 1
becomes 1
been 2
before 4
befriended 1
behind 1
being 2
believe 1
beloved 1
bianchi 3
bonarmo 1
both 2
brother 1
but 4
by 8
can 1
care 2
cell 1
century 1
change 1
charges 2
church 5
comes 3
committed 1
communicate 1
confessor 1
confinement 1
confirm 1
consents 1
consistently 1
continues 1
convent 6
converses 1
court 1
crimes 2
cruel 1
daughter 3
dearly 1
death 3
decides 1
del 2
desired 1
determined 1
di 3
died 1
discover 1
discovers 1
disgraceful 1
distinguish 1
does 1
dropped 1
each 2
elate 1
ellena 23
ellenas 1
encounter 1
encounters 1
end 1
ending 1
englishman 4
escape 2
escorted 2
fact 1
faithful 1
false 1
familiar 2
family 1
father 4
finally 2
finds 1
first 1
follow 1
follows 1
for 2
forbidden 1
forewarned 1
friar 4
friend 1
from 6
front 1
get 1
go 1
guilty 1
had 1
hand 2
happy 1
has 4
have 1
he 8
hears 1
heart 1
held 1
help 2
helps 1
her 13
higher 1
him 7
hires 1
his 14
holy 1
hopes 1
hotel 2
house 2
however 1
immediate 1
immediately 1
in 18
inhabited 1
inquisition 4
intends 2
into 1
is 25
it 2
italian 1
italy 1
joined 1
journey 1
keeping 1
kidnap 1
kidnapped 1
knowledge 1
known 1
lady 1
learns 1
left 1
lineage 2
lone 1
lorenzo 1
love 1
loved 1
lovely 1
man 1
marchesa 5
maria 2
marriage 5
married 1
marry 2
meanwhile 1
melancholy 1
members 1
monastery 1
monk 5
mother 3
murdered 1
murdering 1
mysterious 2
naples 5
narrated 1
news 1
nicola 2
niece 1
noble 1
not 2
notices 1
novel 1
now 1
nun 1
obtain 1
of 23
office 1
olivia 4
on 3
once 1
one 1
only 1
other 1
padua 1
parted 1
paulo 4
personally 2
pianto 2
place 1
places 1
plot 1
position 1
positive 1
presses 1
prevent 1
previously 1
prison 5
promise 1
promised 1
protected 1
put 2
questioned 1
reads 1
recall 1
recognize 1
recovered 1
relates 1
released 1
retire 1
retrieve 1
reunited 1
rich 1
riding 1
right 1
room 1
rosalba 1
safer 1
same 1
san 2
santa 2
schedoni 13
schedonis 1
scuffle 1
seaside 1
secret 1
seems 1
sees 2
send 1
sent 2
separate 1
servant 3
shadowy 1
she 5
signora 3
since 2
sister 2
so 1
son 1
spalatro 2
speak 1
speaking 1
starts 1
stay 1
stefano 1
still 1
story 3
strange 1
struck 1
student 1
summon 1
summoned 1
take 2
taken 1
tell 1
tells 1
textual 1
thanks 1
that 13
the 65
their 3
them 1
they 6
this 1
time 1
to 39
too 1
towards 1
travel 1
trial 1
tribunal 1
tries 1
two 2
under 1
until 1
up 1
villa 2
villain 1
villains 1
vincentio 1
vivaldi 18
vivaldis 1
voice 1
vows 1
warning 1
ways 1
what 2
when 2
where 4
which 1
while 3
who 4
why 2
wicked 1
wife 1
will 4
with 11
would 2
wounded 1
written 1
yard 1
zampari 1
