5812419
/m/0f6kp9
/m/0f6kp9
David Wellington
2005
20yearold 1
a 1
after 1
alongside 1
an 1
and 1
army 1
ayaan 1
calls 1
daughter 1
defend 1
dekalb 1
encroaching 1
events 1
expedition 1
female 1
fights 1
forces 1
from 2
her 1
himself 1
his 1
in 1
island 1
last 1
leads 1
lich 1
meanwhile 1
monster 2
now 1
of 1
on 1
place 1
planet 1
powerful 1
remaining 1
russia 1
sarah 1
settlements 1
somali 1
squad 1
takes 1
the 3
their 1
to 1
tsarevich 1
twelve 1
undead 1
unknown 1
warriors 1
west 1
who 1
years 1
