7923
/m/026l0
/m/026l0
Bram Stoker
1897
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/090ts5": "Invasion literature", "/m/02n4kr": "Mystery", "/m/02ql9": "Epistolary novel", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/039vk": "Gothic fiction"}
a 24
about 3
abraham 1
absorb 1
accepts 1
accordingly 1
acts 1
admonition 1
advice 1
after 6
afterward 2
afterwards 1
against 2
aground 1
aided 1
alive 1
all 6
also 4
american 1
among 1
amsterdam 2
an 2
anchor 1
and 38
animal 1
apparently 2
are 5
around 1
arrives 1
arthur 2
as 6
ascending 1
ashore 1
asking 1
at 6
attacked 1
attentions 1
awareness 1
away 1
back 2
barely 1
be 3
beautiful 1
because 1
become 2
begins 3
behead 1
being 2
betrays 1
between 3
birds 1
birth 1
blood 3
bloofer 1
board 1
body 1
bond 1
book 1
border 1
bowie 1
box 3
boxes 1
brides 1
budapest 1
bukovina 1
buried 1
but 6
by 13
calls 1
can 1
captain 2
cargo 1
carpathian 1
carriage 1
castle 8
cause 1
characters 1
children 1
clearly 1
clippings 1
closes 1
clues 1
coalition 1
condition 2
confides 1
confrontation 1
connected 1
connection 1
consciousness 1
consecrated 1
consume 1
control 1
converge 1
count 7
creating 1
creatures 1
crew 3
crumbles 1
crumbling 1
curse 1
day 1
dead 1
dealing 1
delayed 1
demeter 1
describe 1
described 2
destination 1
detecting 1
determines 1
devoted 1
diary 1
dies 2
directions 1
directly 1
disappearance 1
disclose 1
discovers 1
disquieting 1
disturbing 1
dog 1
doing 1
down 2
dr 1
dracula 18
during 3
dust 1
each 1
earth 2
employer 1
encounter 1
england 4
english 1
enough 1
enticed 1
entire 1
entries 2
epistolary 1
escape 1
escapes 1
established 1
estate 1
events 3
exeter 1
facets 1
faith 1
falls 1
feeding 1
feeds 1
female 1
fiance 1
fierce 1
fill 1
first 2
firstborn 1
flees 1
flows 1
for 2
force 1
forestall 1
format 1
forth 2
forwarded 1
found 1
four 1
freed 1
fret 1
friend 2
friends 1
fright 1
from 10
garlic 1
godalming 2
goes 1
gracious 1
gradual 1
ground 1
group 3
gypsies 1
had 1
harker 10
has 3
having 1
hawkins 1
he 7
heart 3
helm 1
helsing 10
her 12
him 4
his 12
holmwood 2
home 1
hon 1
host 1
household 1
hypnotizing 1
ie 1
if 1
illfated 1
immediately 1
in 21
influence 1
insane 1
insects 1
instructions 1
is 17
it 2
items 1
john 1
join 1
joined 1
jonathan 3
journey 1
journeying 1
just 2
keep 1
kill 1
kills 1
knife 1
knowing 2
kukri 1
lady 2
lairs 1
large 1
last 1
later 1
leaping 1
learns 1
least 1
led 1
legal 2
letters 1
life 4
log 2
london 2
long 2
lord 2
losing 1
lucy 9
main 1
malevolent 1
man 1
manner 1
marriage 1
married 2
mdash 2
means 2
members 1
message 1
millions 1
mina 10
missing 1
mission 1
moldavia 1
morris 3
mortally 1
mother 1
motion 1
mould 1
mountains 1
mouth 1
mrs 1
multiple 1
murray 1
must 1
name 1
needed 1
newly 1
newspaper 1
newspapers 1
night 4
nocturnal 1
not 3
notable 1
note 1
novel 2
obtain 1
occasionally 1
of 33
old 1
on 6
one 4
only 3
or 1
order 2
other 1
others 1
out 1
outside 1
overseen 1
owing 1
party 1
patient 1
peter 1
pieces 1
place 1
planned 1
plot 1
portage 1
presence 1
presumed 1
prisoner 1
professor 1
proposal 1
proposals 1
protagonists 1
provide 1
proximity 1
purpose 1
pursued 1
putting 1
qualified 1
questioning 1
quincey 4
real 1
receives 1
recovered 1
recuperation 1
refer 1
refuses 1
relate 1
remain 1
remembrance 1
remote 1
renfield 2
report 1
return 1
revenge 1
room 1
runs 1
rush 1
russian 1
same 1
sand 1
saved 1
searching 1
second 1
see 1
seen 1
self 1
semitrance 1
sensor 1
series 1
seward 7
shadow 1
shaken 1
she 1
shears 1
ship 6
ships 1
shores 1
shortly 1
silver 1
sisters 1
situated 1
size 1
slashed 1
slowly 1
so 2
solicitor 1
son 1
soon 4
speak 1
spell 1
spiders 1
spiritual 1
splits 1
stabs 1
stake 1
stalked 1
starts 1
state 2
sterilizes 1
story 2
strange 1
strict 1
succumbs 1
suitors 2
sundown 1
supplemented 1
supplying 1
support 1
surroundings 1
suspiciously 1
switching 1
taken 1
takes 1
tale 1
teacher 1
teachings 1
teeming 1
telepathic 1
telepathically 1
tells 1
tempest 1
that 8
the 58
their 4
them 1
themselves 1
there 1
these 2
they 4
this 3
three 4
throat 1
through 2
tied 1
time 1
times 1
to 32
told 1
track 1
tracking 1
train 1
transaction 1
transfer 1
transfusions 1
transported 2
transylvania 3
travel 1
tries 1
trio 1
turn 1
turning 1
twoway 1
under 2
vampire 2
vampires 2
vampiric 1
van 10
varna 1
veins 1
venture 1
visiting 1
wanton 1
wants 1
was 1
waste 1
watch 1
way 2
weighed 1
westenra 3
when 1
where 1
which 2
while 3
whitby 1
who 4
whom 1
wilhelmina 1
will 1
with 10
witnessed 1
wolf 1
wounded 1
writers 1
