2681510
/m/07xlpt
/m/07xlpt
Rohinton Mistry
1991-04-01
171 1
a 7
admittance 1
all 1
also 1
amounts 1
an 1
and 9
apart 1
as 2
aspects 1
attend 1
bank 1
begins 2
bilimoria 1
brings 1
but 2
character 1
children 1
clerk 1
close 1
community 1
conflicts 1
coworker 1
daughter 1
day 1
deception 1
devoted 1
dilnavaz 1
dinshawji 1
disabled 1
draws 1
eccentric 1
eldest 1
essential 1
fall 1
falls 1
family 2
follows 1
friend 2
from 1
gained 1
gandhi 1
government 1
gustad 6
hardworking 1
has 1
he 3
him 2
his 7
ill 1
in 3
india 1
indian 1
indira 1
innocence 1
institute 1
interactions 1
into 1
involve 1
involving 1
is 2
journey 2
keep 1
large 1
leadership 1
letter 1
life 4
light 1
long 2
maharashtra 1
major 1
man 1
member 1
mentally 1
money 1
mumbai 1
neighbours 1
new 1
noble 1
not 1
novel 3
of 8
old 1
on 1
one 1
ongoing 1
only 1
other 1
out 2
parsi 1
personal 1
place 1
political 2
poverty 1
prestigious 1
protagonist 1
receives 1
refuses 1
relationship 1
represents 1
roshan 1
secrecy 1
seemingly 1
sheds 1
side 1
slowly 1
sohrab 1
son 1
struggling 1
such 1
takes 1
technology 1
tehmul 1
tender 1
that 2
the 10
then 1
threats 1
three 1
to 4
turmoil 1
under 1
unimportant 1
which 1
wife 1
with 2
within 1
year 1
youngest 1
