5321463
/m/0dfgg8
/m/0dfgg8
Jeffrey Archer
1991-05
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
100 1
1823 1
30 1
40 1
a 103
ability 2
about 16
above 1
academic 1
accepted 2
accepts 1
access 1
acknowledging 1
acquire 1
acquisition 1
actions 3
added 1
additional 2
adjutants 1
admires 1
admit 1
advantage 1
advises 2
affair 2
affront 1
after 12
afterwards 1
again 2
against 1
age 1
agree 2
agreed 1
agrees 2
agriculture 1
all 3
allow 1
allowed 1
allowing 2
allows 1
alone 1
along 1
already 1
also 17
always 1
america 2
an 10
and 113
announcement 2
another 3
any 2
anybody 1
appearance 2
applying 1
approached 1
approaches 2
approval 1
are 10
army 3
around 1
arrange 1
arranged 1
arranges 1
art 11
artifact 1
as 37
asked 2
asking 1
asks 2
assault 1
assaulted 1
assistant 1
assumes 1
astonished 1
at 20
attempt 2
attempting 1
attend 1
attending 1
attends 2
attorney 3
attorneys 1
auction 4
auctioned 1
australia 6
australian 1
awarded 2
baby 1
back 4
background 3
backs 1
bailed 1
baker 1
bakery 2
balance 1
bank 1
banking 2
banned 1
bans 1
bargains 2
barrow 4
base 1
based 1
be 4
bearing 1
bears 1
because 1
becky 10
become 5
becomes 4
been 9
before 5
befriends 1
begin 1
begins 2
behind 1
believe 1
believes 1
best 2
better 2
between 3
bid 2
bidder 1
bidding 1
bids 1
biggest 1
bill 1
biological 1
birth 4
bishop 1
bit 1
bits 1
blackmail 1
block 1
blocking 1
blood 1
bloomingdale 2
board 3
boardroom 1
body 1
bombs 1
book 2
bore 1
both 7
bought 1
brains 1
brand 1
brands 1
breaking 1
bring 1
brings 1
british 2
broke 1
brother 1
brought 1
build 2
building 2
buildings 1
buns 1
business 12
businessman 1
businesswoman 1
but 20
butting 1
buy 4
buying 1
buys 2
by 18
call 1
came 3
campaign 1
can 3
captain 2
careful 1
case 1
cashiered 1
cathy 14
cattle 1
caught 1
caused 1
ceremony 1
certificate 1
chairman 4
chambermaid 1
chance 1
character 1
characters 2
charge 1
charges 1
charlie 67
chelsa 3
chelsea 3
chicago 1
child 2
choice 2
chosen 1
church 1
churchill 2
cigars 2
claim 2
claims 1
clan 1
class 2
classes 3
clause 1
clear 1
close 1
closing 1
clues 1
code 1
codebreaking 1
coldly 1
collection 1
colleratal 1
colonel 6
combined 1
come 1
comes 1
commanding 2
comments 1
commission 1
commitment 1
committees 2
common 1
company 4
completed 1
concern 1
concerning 1
confide 1
confrontation 1
connections 1
considerable 1
contacts 1
continue 1
continues 2
contract 1
controlling 1
conversation 1
convinced 1
copy 1
costermonger 2
costermongering 2
could 1
counter 1
country 1
coward 1
cream 1
cross 1
crow 1
cryptology 1
cuba 1
cuban 3
custom 1
customers 1
daniel 16
daphne 15
date 2
daughter 2
days 1
deadbeat 1
deal 1
death 3
debut 1
decided 1
decides 3
declared 1
declines 1
defers 1
degree 3
deliberately 1
delight 2
delivers 1
demobilized 1
denying 1
department 4
deposit 1
desk 1
detective 1
determined 1
develop 1
device 1
devoted 1
did 2
died 3
dies 2
different 1
dig 1
diligently 1
dinner 3
directors 1
discharged 2
discuss 1
displays 1
distributing 1
do 2
does 7
doesnt 1
doing 3
doors 1
down 3
draw 1
dreadful 1
dressing 1
drills 1
drink 1
drive 1
drop 2
dubious 1
during 4
early 1
earned 1
educates 1
effects 1
ego 1
eight 1
either 3
elaborate 1
embargo 1
empire 1
employed 1
employees 1
employment 1
employs 2
encounters 3
ends 2
enemy 2
engagement 2
engages 1
england 5
engraved 3
engravement 1
engraving 1
enigma 2
enlisting 2
enlists 2
enough 4
enquires 1
enquiries 1
enterprise 1
entire 1
errands 1
established 1
estate 6
even 3
event 1
events 3
eventually 9
everything 4
evidence 1
examined 1
excellent 1
except 1
exchange 2
explain 1
fabrication 1
face 1
faces 1
fails 2
fair 1
faith 1
fall 1
falls 1
false 1
family 4
farms 1
father 21
feather 1
feel 1
feels 2
feud 1
few 3
field 2
fields 1
fights 1
figure 1
find 4
finding 2
finds 9
fire 1
first 6
fits 1
flat 1
flats 4
flies 1
flight 1
florist 1
focuses 1
food 2
fool 1
foolish 1
footman 2
for 42
force 1
forced 3
foreseen 1
forget 1
form 2
fortune 1
fothergill 1
found 1
foursome 1
free 1
freehold 1
freeholds 1
friends 1
from 20
front 6
fruits 2
full 2
future 1
gained 1
gains 1
gallery 5
gambles 1
gather 1
gave 1
general 2
generating 1
generation 1
gerald 1
german 1
germany 1
get 5
gets 4
getting 3
gft 1
girl 4
girls 1
give 1
given 4
gives 1
giving 3
glass 1
glosses 1
go 5
goal 1
goes 4
good 1
got 1
grab 1
graduation 1
grandfather 1
grandson 2
granpa 2
great 3
greater 1
greengrocer 1
greengrocers 2
greengrocery 2
grew 2
gullible 1
guy 29
had 12
