5976731
/m/0fhpwk
/m/0fhpwk
L. Sprague de Camp
1965
{"/m/0hwxm": "Historical novel"}
3 1
a 2
against 1
also 1
an 1
based 1
battle 1
bc 1
by 1
carthage 1
catapult 1
creator 1
damocles 1
department 1
dionysios 1
drafted 1
effort 1
engineer 1
event 1
first 1
follower 1
having 1
he 1
historical 1
history 1
improved 1
in 1
incident 1
into 1
invented 1
is 5
known 1
legend 1
major 1
military 1
motya 1
novel 1
of 8
ordnance 1
philosophical 1
portrayed 1
protagonist 1
pythagorean 1
school 1
supposedly 1
sword 1
syracuse 1
tarentum 1
the 10
to 1
type 1
tyrant 1
upon 1
war 1
which 1
zopyros 1
