338090
/m/01xrd_
/m/01xrd_
Terry Pratchett
1990
13yearold 1
a 19
abandoned 1
about 3
action 1
again 1
against 1
all 4
allowed 1
also 1
amongst 1
an 2
and 30
animals 1
announces 1
any 1
anyone 1
appearance 2
are 8
army 2
around 2
arrival 1
artistic 1
as 8
astfgl 6
at 3
atheist 1
aztec 1
back 1
be 6
beautiful 2
because 1
been 3
before 1
beginning 1
beginnings 1
being 1
blame 1
book 1
boredom 1
both 2
bringing 1
built 1
bureaucracy 1
bureaucratic 1
burns 1
but 1
by 3
can 2
cannot 1
catches 1
causes 1
children 1
city 2
come 2
complaining 1
confine 1
confronts 1
confuse 1
could 1
council 1
course 1
creator 1
crossing 1
da 4
dante 1
de 1
deceit 1
decided 1
declare 1
decoy 1
deliver 1
demands 1
demon 4
demonic 1
demonologist 1
demons 4
description 1
destroyed 1
didnt 1
dimensions 1
disappointed 2
discover 1
discovers 1
discworld 1
disguise 1
disheartened 1
do 1
does 1
dungeon 1
during 1
early 1
elenor 2
embarrassed 1
empire 2
encounter 1
end 1
enemies 1
enshrine 1
ephebian 3
ephebians 1
eric 16
escape 3
events 1
ever 1
existed 1
existence 1
exit 1
exiting 1
experience 1
explore 1
fall 1
fate 1
faust 1
finally 1
find 6
finger 1
fingers 3
finish 1
finishing 1
follows 1
for 8
force 1
forests 1
forever 3
form 1
formed 1
forming 1
forms 1
forward 1
from 1
further 1
game 1
gathering 1
get 1
god 1
grant 1
guards 1
had 3
hands 1
has 3
have 3
having 2
he 9
helen 1
hell 5
her 1
him 6
hinting 1
his 12
history 1
home 1
horror 1
horse 4
horsehaving 1
iliad 1
in 14
inferno 1
insists 1
into 1
invading 1
invasion 1
is 13
it 3
juan 1
just 3
keep 1
kill 1
king 3
kingdoms 1
klatch 1
large 1
lavaeolus 7
leading 1
learn 1
left 1
len 1
levels 1
licence 1
life 2
live 4
local 1
long 1
lord 2
lost 1
luggage 4
made 1
makes 3
making 1
man 1
manages 1
mastery 1
means 1
meet 2
meets 1
men 1
might 1
misfortunes 1
most 2
mother 1
moustache 1
never 1
newly 1
notes 1
now 1
occupied 1
odyssey 1
of 39
off 1
on 4
only 1
out 4
outside 1
outwho 1
over 1
own 2
parody 5
parrot 3
part 1
passage 1
pay 1
people 1
perhaps 1
place 2
plan 1
planned 1
pleased 1
plump 1
ponce 2
powers 1
president 1
prison 1
prisoner 1
prisoners 1
process 1
pyramid 1
quezovercoatl 4
quirm 4
rain 1
realization 1
really 1
recently 1
reenter 1
reference 1
reformed 1
relative 1
release 1
releases 1
renewed 1
returned 1
revealed 2
reverse 1
revolt 1
rincewind 26
rinser 1
ruler 3
sacrificed 2
same 1
satirical 1
sea 1
secret 2
see 1
sees 1
sent 1
serious 1
set 1
several 1
shortly 1
siege 1
sixinchtall 1
snap 1
snapping 1
snaps 2
sneak 1
so 4
soldiers 1
some 1
source 1
sourcery 1
spells 1
spoiling 1
start 1
steeped 1
still 1
stories 1
story 1
strange 1
subject 1
subsequent 1
summoned 3
summoning 1
support 1
supreme 1
surrounded 1
suspect 1
take 1
taken 2
takes 1
taking 1
tale 1
talk 1
tells 5
temple 1
terms 1
terrible 1
tezumen 4
that 11
the 70
their 4
them 6
themselves 3
these 1
they 9
things 1
this 1
three 1
through 3
thursley 1
tied 1
time 2
to 39
told 1
top 1
torture 1
trampling 1
translates 1
trapped 1
tribute 2
trojan 1
trouble 1
troy 1
try 1
tsort 2
turned 1
ultimate 1
unable 1
unfortunately 1
university 1
up 3
uses 1
using 1
vassenego 4
voyages 1
waited 1
waiting 1
wakes 1
wanted 1
wants 1
war 1
was 2
way 1
well 2
when 3
where 3
which 2
while 4
who 7
whom 1
winds 1
wishes 2
with 5
wizard 1
woman 2
wooden 1
work 1
working 1
world 4
worshipping 1
