26859770
/m/0bmb2xm
/m/0bmb2xm


{"/m/05h83": "Non-fiction"}
30 1
a 3
all 1
alternately 1
an 1
and 6
andrea 1
as 4
assembled 1
attempted 1
book 1
by 1
conciliatory 1
crew 1
days 1
details 1
did 1
escape 1
eventual 1
experience 1
fear 1
for 1
force 1
hands 1
hidden 1
him 1
his 3
hostage 1
in 2
keep 1
large 1
leaving 1
led 1
life 1
lifeboat 1
loyal 1
mariner 1
meanwhile 1
navy 2
of 3
only 1
ordeal 1
phillips 5
pirates 1
portrays 2
possible 1
precautions 1
rescue 1
rose 1
safe 1
seals 1
security 1
several 1
ship 1
steadily 1
strongwilled 1
taken 1
task 1
tensions 1
the 4
this 1
to 2
unfocused 1
us 2
utilized 1
vicious 1
was 1
when 1
who 1
wife 1
years 1
