6802407
/m/0gppfh
/m/0gppfh
Andrew Gross
2004-03-01
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 16
abuse 1
abusive 1
action 1
actually 1
after 1
again 1
all 1
although 1
an 1
and 7
apartment 1
as 1
assistant 1
at 2
attorney 1
august 1
because 3
been 1
being 1
bernhardt 1
blast 1
blows 1
book 1
boxer 2
boyfriend 1
bringing 1
brokeup 1
bullying 1
by 2
call 2
case 5
caused 1
chance 1
chronicle 1
cindy 1
claire 1
college 1
comes 1
cover 1
date 4
days 1
deadly 1
decided 1
deputy 1
dinner 1
director 1
district 1
dive 1
early 1
ends 2
enough 1
every 1
examiner 1
family 1
fashion 1
father 1
fbi 1
feels 1
figures 1
find 1
for 1
former 1
francisco 1
from 2
getting 1
go 1
grado 1
group 1
guilty 1
had 2
has 1
have 3
he 4
her 6
home 1
homeland 1
house 1
husband 1
ignore 1
ignored 1
in 5
installment 1
into 1
introduced 1
is 5
it 1
itterzo 1
j 1
jill 4
joe 2
just 1
kill 1
killers 1
known 1
ladies 1
laison 1
later 1
launched 1
leads 1
lindsay 5
lt 1
make 1
may 1
medical 1
middle 1
mocked 1
molinari 1
murdered 1
novel 1
oddly 1
of 6
old 1
on 2
or 1
out 1
partner 1
pastor 1
pd 1
political 1
president 1
previous 1
previously 1
professor 1
prosecuted 1
recently 1
relationship 1
remaining 1
reporter 1
resolves 1
revealed 1
romanzo 1
rushes 1
san 1
save 1
second 1
securtiy 1
she 2
sleep 1
spies 1
spousal 1
survived 1
takes 1
target 1
terrorist 1
that 3
the 14
their 1
they 3
this 3
thomas 1
three 2
thrown 1
tiein 1
time 2
to 8
together 1
traveling 1
turn 1
typical 1
up 4
various 1
very 1
vice 1
victim 1
visit 1
vow 1
warren 1
washburn 1
when 2
which 1
while 4
who 2
whoever 1
with 6
work 1
years 1
