5419981
/m/0dl1lt
/m/0dl1lt
Louis Sachar
1983
a 7
about 1
achieve 1
afraid 1
after 1
alienating 1
also 3
although 1
and 12
angeline 6
angry 1
animals 1
aquarium 1
are 1
arranged 1
arranges 1
as 2
at 3
away 1
back 1
be 2
beach 1
because 1
become 1
becomes 1
before 1
best 1
better 2
bone 1
book 1
boone 1
born 1
bullied 1
by 3
class 2
classroom 1
collector 1
come 1
completely 1
date 1
daughter 1
day 3
decide 1
denouncing 1
does 3
dogs 1
dont 1
drowns 1
each 1
eight 1
elected 1
especially 1
even 1
evening 1
everything 1
extremely 1
faces 1
fall 1
famous 1
father 3
fifth 2
finds 1
fish 1
fisherman 1
for 3
friends 1
from 2
frustrated 1
furious 1
garbage 2
gary 1
gets 3
go 1
goes 1
going 1
grade 3
hard 1
hardlick 5
he 4
her 9
himself 1
his 1
home 1
however 2
implied 1
in 2
instead 1
intelligence 1
intelligent 1
is 10
it 1
jokes 1
jumps 1
knew 1
know 1
known 1
later 2
like 1
listen 1
love 1
meet 1
messes 1
miss 3
misunderstood 1
more 2
mr 3
mrs 5
nearly 1
next 3
not 3
note 1
ocean 2
of 3
off 1
often 1
on 1
once 1
one 1
only 2
or 1
orders 1
other 1
out 1
persopolis 2
pier 1
plan 1
problems 1
pushes 1
related 1
resign 2
return 1
runs 1
saved 1
school 4
secretary 1
see 1
sent 1
she 16
signed 1
sixth 1
so 2
students 1
succeeds 1
talk 1
teacher 2
tell 1
tells 1
that 3
the 15
they 3
things 1
this 2
though 1
time 2
times 1
to 18
too 1
transfer 1
transferred 1
trash 1
tries 1
turbone 3
two 3
up 1
wants 3
was 1
week 1
when 4
where 1
while 1
who 1
will 2
with 1
without 1
