7939358
/m/026ktrn
/m/026ktrn
Don DeLillo
2007-05-15
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1 1
11 2
170s 1
3yearold 1
a 10
abdicates 1
absently 1
after 1
alzheimer 1
an 1
and 8
another 1
apartment 1
art 1
artist 1
as 1
at 1
attack 1
attacks 1
attire 1
begins 1
book 1
boyfriend 1
briefcase 1
broaching 1
building 2
business 1
by 1
center 1
city 1
concerns 1
convalescence 1
coworkers 1
day 1
dealer 1
deaths 1
dissolution 1
domestic 2
drew 1
dubbed 1
during 1
effect 1
elderly 1
escapes 1
estranged 1
eventually 1
exiting 1
experienced 1
experiences 1
falling 2
famous 1
florence 1
for 1
from 3
frustrated 1
fulltime 1
germany 1
group 1
grows 1
half 1
harness 1
have 1
he 3
her 3
him 1
himself 1
his 6
in 10
injured 1
intellectual 1
involved 1
justin 1
keith 4
kommune 1
lawyer 1
lianne 4
life 2
loudly 1
man 3
martin 1
meanwhile 1
mental 1
middleeastern 1
mother 1
music 1
name 1
named 1
neighbor 1
neudecker 1
nights 1
nina 1
novel 2
of 8
on 3
one 1
opens 1
partially 1
parts 1
patients 1
performance 1
period 1
photograph 1
physical 1
playing 1
plays 1
poker 2
pose 1
previously 1
professional 1
ran 1
recalling 1
recuperating 1
relationship 1
resumed 1
resumes 1
richard 1
romantic 1
rope 1
routine 1
same 2
second 1
sees 1
shared 1
she 1
slightly 1
son 1
sounding 1
spends 1
stairwell 1
survivor 2
suspends 1
that 1
the 21
thereafter 1
throughout 1
time 2
to 1
took 1
touring 1
tournaments 1
tower 1
trade 1
trauma 1
upon 1
upsidedown 1
various 1
walks 1
was 1
wearing 1
weekly 1
while 1
who 3
whose 2
wife 1
with 8
witnessed 1
witnesses 1
woman 1
works 1
world 2
writing 1
