959366
/m/03tgtr
/m/03tgtr
Louis Sachar
1998-08-20
a 22
accused 1
actually 1
affected 1
age 1
ago 1
along 1
ambiguous 1
an 1
ancestor 3
and 13
antidote 1
apprehended 1
are 2
arrives 1
as 3
at 3
atop 1
attorney 1
auction 1
backbreaking 1
barlow 1
baseball 1
because 1
become 1
been 2
beginning 1
being 1
bite 1
boat 1
bonds 1
boy 1
boys 2
build 1
buried 3
but 1
buy 1
by 8
called 1
camp 7
campers 1
celebrates 1
character 1
charity 1
choice 1
climb 1
clyde 1
coincidence 1
composed 1
consumed 1
contentment 1
contents 1
convicts 1
correctional 1
crime 1
curse 1
cursed 1
deeds 1
demands 1
detention 1
dig 1
digging 1
discovers 1
do 1
drink 1
drought 1
due 1
during 2
eat 1
either 1
elya 1
facility 1
families 1
family 3
father 1
fermented 1
field 1
final 1
find 2
finds 1
first 1
fist 1
food 1
foot 1
for 4
forced 2
fortuneteller 1
found 1
from 4
fulfilled 1
fulfilment 1
girl 2
given 1
giving 1
go 1
gods 1
got 1
government 1
granddaughter 1
greatgrandfather 1
greatgreatgrandfather 2
green 4
groundwater 1
group 1
had 2
has 1
have 1
he 3
head 1
hires 1
his 4
hole 1
holes 1
house 1
human 1
i 1
if 1
in 7
indicates 1
into 1
investigators 1
is 4
isnt 1
it 2
its 1
iv 1
jail 1
jars 1
jewels 1
juvenile 1
kate 1
katherine 1
kissin 1
kitchens 1
known 1
lake 4
later 1
leave 1
left 1
lethal 1
living 1
livingston 1
lizards 2
looking 1
looks 1
madame 1
meanwhile 1
missing 1
more 1
morning 1
mother 1
mountain 1
mr 1
name 1
named 1
narration 1
new 1
next 1
nogooddirtyrottenpigstealing 1
not 2
notes 1
novel 1
occupy 1
odor 1
of 16
old 1
on 3
onions 2
or 1
outlaw 1
peaches 2
place 1
player 1
pool 1
popularly 1
preserved 1
promise 2
promissory 1
protagonist 1
punishment 1
purposely 1
rainfall 1
real 1
recalls 1
referring 1
refuge 1
release 1
remain 1
replaced 1
requesting 1
resembling 1
response 1
return 1
returning 1
river 1
scene 1
scout 2
search 1
seeing 1
sell 1
shoes 1
should 1
sign 1
similar 1
since 1
sings 1
sir 1
some 1
spiced 2
sploosh 2
staff 1
stanley 14
stanleys 2
state 1
stealing 1
steals 1
stocks 1
stole 1
stolen 1
story 3
succeed 1
success 1
suggestion 1
suitcase 1
supposedly 1
surrounded 1
team 1
teenage 1
that 4
the 35
their 2
them 1
then 1
they 5
this 3
thumb 1
thumbs 1
to 16
told 1
treasure 3
trout 1
turns 1
unable 1
until 1
up 1
upon 2
uses 1
very 1
walker 2
warden 4
was 1
water 2
when 1
where 1
which 5
while 1
who 3
with 1
written 1
wrongly 1
years 1
yellowspotted 1
yelnats 5
zero 7
zeroni 2
