2110905
/m/06mvxr
/m/06mvxr
Bruce Coville
1993
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 2
able 1
adventure 1
aiding 1
alien 1
aliens 1
allbright 1
an 1
and 2
as 2
beekayare 1
bkr 2
can 1
capture 1
cause 1
changing 1
crashes 1
crew 1
criminal 1
defeating 1
early 1
ferkel 2
finds 1
forever 1
galactic 1
good 1
he 1
help 1
himself 1
his 2
in 3
interstellar 1
into 1
is 3
launched 1
life 2
lifetime 1
may 1
misery 1
mission 2
much 1
normal 1
now 1
of 3
on 1
one 1
pain 1
patrol 1
pronounced 1
returning 1
rod 3
room 1
ship 1
sixthgrader 1
sizes 1
spaceship 1
the 6
their 2
tiny 1
to 4
ultimately 1
when 1
whose 1
