966420
/m/03v30m
/m/03v30m
Tom Sharpe

{"/m/02xlf": "Fiction"}
a 9
able 1
acquire 1
after 1
alcoholic 1
american 1
an 2
and 4
anonymous 1
appointed 1
as 1
at 2
attempts 1
backed 1
be 2
become 1
bedder 1
blue 1
book 1
bull 1
bursar 2
by 4
cannot 1
caused 1
central 1
clarifying 1
college 9
contacted 1
continue 1
current 1
damaged 1
dean 1
death 2
donation 1
end 1
evans 1
exhausted 1
fellow 1
for 1
frail 1
funds 2
gamble 1
godber 1
graduate 1
guided 1
had 1
he 1
head 1
hence 1
himself 1
his 1
hope 1
if 1
in 3
incident 1
instigate 1
interested 1
investigate 1
involving 1
is 7
issues 1
it 2
jeremy 1
large 1
lord 1
master 4
meanwhile 1
media 1
members 2
mogul 1
new 1
novel 1
of 7
old 1
one 2
only 1
or 1
pimpole 1
plan 1
planted 1
porter 1
porterhouse 3
porterthusians 1
previous 5
prompt 1
prosperous 1
research 1
return 1
same 1
seems 1
senior 1
severely 1
since 1
sir 1
skullion 2
story 1
stroke 1
student 1
supporting 1
surrounding 1
takes 1
tendency 1
that 1
the 25
themes 1
through 1
time 1
title 1
to 9
tower 1
upon 1
visit 1
wants 1
were 1
what 1
when 1
which 2
who 1
widow 1
willing 1
with 1
without 1
