4129042
/m/0bkncd
/m/0bkncd
Karen Traviss
2004-11
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
1 1
2376 1
3 1
5 1
6 1
a 32
able 1
about 9
accept 1
accepted 1
accepts 1
acknowledges 1
actaeon 11
actions 1
acts 1
ade 1
adrian 1
advise 1
aft 1
after 5
against 3
agreed 1
agrees 4
aircraft 1
airlock 1
alien 1
all 1
allow 2
almost 2
alone 1
already 3
also 12
alternates 1
ambushed 1
an 5
and 92
another 2
anticipated 1
any 2
anywhere 1
apart 1
apologizes 1
appear 1
appears 1
aras 30
are 16
around 3
arrival 1
as 16
aside 2
asks 1
assistance 2
asylum 1
at 6
atmosphere 1
attendance 1
attraction 1
authorities 1
avoid 1
await 1
back 4
backdoor 1
barencoin 3
barrel 1
bars 1
basically 1
be 13
beauty 1
because 3
been 3
before 5
begins 1
behind 1
being 3
believe 1
bennett 10
betrayal 1
between 2
bezerej 7
bezeri 4
bioluminescence 1
biomodifications 1
biotech 4
bioweapons 3
bisatilissi 2
blames 1
blew 1
blow 2
board 2
bodies 1
body 3
bombs 5
bond 2
both 1
bound 1
brief 1
broken 1
brought 2
bur 1
bureaucrats 1
but 14
by 7
call 1
called 1
calling 1
can 3
cannot 2
cant 1
capital 1
captured 1
case 1
caused 1
causes 1
cavanaugh 1
cedes 1
cekuldnar 1
chahal 3
change 1
changes 3
charge 1
chayyas 6
chooses 1
christopher 4
cities 2
city 3
clip 1
clips 1
closer 1
clues 1
cnaatat 10
coercion 1
collect 1
colonists 4
colony 1
come 3
comes 3
commander 3
communicate 1
communications 1
community 1
complication 1
conceal 1
concerning 1
confrontation 1
confrontational 1
confronted 1
confronts 1
connect 1
consensus 1
constantine 7
contact 1
contacted 1
contained 1
contaminated 1
control 2
conversation 1
cooperates 1
coordinated 1
cope 1
coping 1
copper 1
copulate 1
correctly 1
council 1
covertly 1
coveted 1
crew 1
crimes 1
custody 2
daughter 1
david 1
day 1
days 1
dead 1
death 2
deaths 1
decision 1
declares 1
deduces 1
deferring 1
denied 1
deposes 1
depriving 1
descent 1
designed 1
desire 1
desires 1
desperation 1
despite 2
destroy 3
destroyed 3
destroying 1
destroys 1
destruction 5
detects 1
determined 2
devastation 1
did 3
didnt 1
die 1
different 2
difficult 2
difficulties 1
difficulty 1
directionalblast 1
discover 1
discovering 1
discovers 1
dna 2
do 2
does 1
doesnt 1
dominance 3
dominant 1
done 1
doubt 1
down 5
drop 2
each 2
earth 5
ebj 1
eddie 12
effect 1
effort 2
eliminate 1
else 1
employed 1
en 1
end 2
endeavoring 1
enjoying 1
enraged 1
ensure 1
environment 1
eqbas 1
escorted 1
establish 1
evacuated 1
even 9
eventually 2
every 1
everyday 1
exchanged 1
exerted 1
exerts 1
exhume 1
expelled 1
explosion 1
exposed 1
faced 1
facilities 1
fact 3
fall 1
fallout 2
feelings 2
fell 1
fellow 2
few 1
fighter 2
fighting 1
finally 1
find 3
finding 2
finds 3
firm 1
first 2
flashing 1
flee 1
fnar 6
foam 1
footage 1
for 13
forces 1
fortunately 1
found 1
frankland 3
frankly 1
free 1
from 16
garrod 1
gather 1
gear 1
genetic 1
get 5
gethes 3
gets 1
getting 1
give 1
given 3
gives 2
giving 1
go 2
goal 1
goes 4
government 3
grenade 1
grenades 1
group 1
grow 1
growing 1
gun 1
gunpoint 1
hachis 1
had 4
handed 1
hands 2
happen 1
happened 1
has 12
have 4
having 2
he 31
head 5
headbutt 1
heading 1
heatshield 1
help 2
her 35
hereward 2
herself 6
hid 1
him 5
himself 2
his 10
hold 1
holds 1
home 2
homeworld 2
hormonally 1
horror 1
hour 1
how 1
human 4
humans 5
hurt 1
idea 1
if 2
imeklit 1
impossible 1
impressed 1
in 30
including 1
increases 1
individual 1
infected 3
influence 1
information 1
informed 1
