17005346
/m/0415blz
/m/0415blz
Drew Karpyshyn
2008-07-29
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 26
abandon 1
abilities 1
able 1
about 1
access 3
accompany 1
acquire 1
addict 1
administer 1
administered 1
admiralty 1
adopted 1
affection 1
after 9
agent 1
agrees 2
ai 1
aimed 1
alien 1
allergically 1
alliance 1
allies 1
also 1
always 1
ambush 2
amid 1
an 5
and 40
another 3
anymore 1
apparently 1
apply 1
are 2
as 6
ascension 9
assassination 1
assault 1
assigned 1
assures 1
at 5
atrium 2
attack 4
attacking 1
attacks 1
attempt 1
attention 1
autistic 1
away 1
back 2
banished 2
basic 1
be 3
because 1
becomes 2
bed 1
been 2
before 1
behind 1
being 2
believing 1
betrayal 1
better 1
between 1
biotic 4
bioticenhancing 1
biotics 1
blueprints 1
board 1
bounty 1
but 9
by 14
called 1
calling 1
cant 1
capital 1
captured 1
care 1
caught 1
cerberus 13
change 1
chief 1
citadel 1
codes 3
collaboration 1
collectors 1
comfort 1
commandos 1
concedes 1
confronts 1
contacts 2
continually 1
course 1
csmass 1
current 1
data 1
daughter 2
day 1
decide 1
decided 1
deciding 1
decisive 1
deduced 1
deduces 1
defeat 1
delirious 1
describes 1
desperate 1
despite 1
developing 1
difficult 1
disappeared 1
distant 1
diverts 1
dose 1
down 1
dr 2
drive 1
drug 3
drugs 1
due 3
during 1
early 1
easily 1
effect 4
efficacy 1
emotional 2
end 1
engines 1
entire 1
escape 1
escapes 1
escaping 2
evaluate 1
everybody 1
expecting 1
expert 1
explaining 1
explains 1
exploration 1
exploratory 1
factor 2
familiar 1
favor 1
feeling 1
find 2
finds 2
firefight 2
first 1
fleet 5
for 8
forced 1
former 1
found 2
friends 2
from 3
get 1
geth 4
gift 1
gillian 14
girl 2
give 1
gives 1
golo 8
gone 1
grayson 19
guesses 1
habitable 1
had 2
hadnt 1
hand 1
happy 1
has 5
have 3
having 1
he 20
heading 1
heart 1
hendel 8
her 10
hide 1
hideout 1
him 6
his 13
homeworld 2
hospital 1
how 2
however 2
hug 1
huge 1
hugging 1
human 1
humans 1
hypothesizes 1
illusive 5
important 1
impossible 1
in 12
included 1
including 1
increasingly 1
induces 1
infamous 1
infant 1
infected 1
influence 2
information 1
informed 1
informs 3
initiative 1
injects 1
inside 1
insignificant 1
instructed 1
intends 1
interrogate 1
into 2
intuitively 1
involvement 2
is 21
it 8
itmass 1
its 1
jiro 6
kahlee 17
kept 1
kicked 1
kill 1
killed 1
kills 1
knocked 1
know 1
known 1
knows 1
later 2
launch 1
leader 1
leave 2
leaving 1
led 1
left 2
lemm 10
let 1
levels 2
like 1
link 1
lives 1
longserving 1
looking 1
lures 1
mad 1
makes 1
making 1
man 7
manages 3
may 1
meanwhile 3
medication 1
member 1
migrant 5
mission 4
missions 1
mitra 1
mob 1
mocked 1
more 2
move 2
much 3
mumbles 1
mysterious 1
named 1
necessary 1
new 2
next 1
nominal 1
not 2
novel 1
now 3
observation 1
obtain 1
of 18
omega 1
on 9
one 1
only 1
open 1
operative 1
opinion 1
or 2
ordered 2
organization 1
other 1
others 1
out 4
outburst 1
outside 1
overpower 1
overpowered 1
partner 1
party 1
paul 1
pel 13
pieces 1
pilgrimage 3
place 2
plans 1
plmass 1
plot 1
plots 1
podniesienie 1
position 1
potential 1
prisoner 2
project 7
projects 1
promise 1
provide 1
provides 1
pursue 1
put 2
puts 1
qian 1
quarian 12
quarians 1
race 1
raising 1
reaching 1
reacted 1
reaper 1
reapers 1
recalling 1
reclaim 2
recognizes 1
reduced 1
refuses 1
regarded 1
reluctantly 1
rescuing 1
retreat 1
returning 1
returns 1
reveals 1
rid 1
risky 1
rogue 2
roof 1
ru 1
rules 1
runaway 1
running 1
runs 1
safety 1
same 1
sanders 1
saren 2
saying 1
scout 2
security 1
seems 1
seething 1
seizure 1
sell 1
sending 1
setting 1
she 8
ship 5
ships 1
shortly 1
shu 1
shuttle 5
silence 1
soldiers 1
some 1
sooner 1
sovereign 2
sovereignlike 1
sovereigns 1
space 1
spends 1
squads 1
staff 2
starting 1
station 1
stay 1
stealing 1
student 1
stunner 2
subdued 1
subordinates 1
suggests 1
surprise 1
surprised 1
surroundings 1
survived 1
suspects 1
system 1
systems 1
take 2
takes 4
talks 1
teaches 1
team 1
terminus 1
territory 1
than 1
that 9
the 59
their 4
them 4
they 3
threatens 1
time 2
to 46
together 1
told 1
touch 1
trades 1
transported 1
trouble 1
troubled 1
turn 1
turns 2
two 1
ukmass 1
unexpectedly 1
unless 1
up 1
upper 3
use 3
very 1
virus 1
vzestup 1
walk 1
wants 1
warehouse 2
was 3
watches 1
wealth 1
welcomed 1
went 1
when 2
where 1
whether 1
which 2
while 1
who 9
will 4
with 9
withdraw 1
without 1
wont 2
worlds 1
would 1
xenophobic 1
zh 1
